"","MeanDecreaseGini"
"L1Norm.1",10.4357887930519
"L1Norm.2",1.32337647583781
"L1Norm.3",0.775478453241129
"L1Norm.4",0.818423356466843
"L1Norm.5",0.948090299296217
"L1Norm.6",0.530797127972182
"L1Norm.7",0.501218886949658
"L1Norm.8",0.561039514655782
"L1Norm.9",0.728024263969551
"L1Norm.10",0.68306934679231
"L1Norm.11",0.506987164799505
"L1Norm.12",0.60545995757016
"L1Norm.13",0.279676032878293
"L1Norm.14",0.378918906494988
"L1Norm.15",0.516379370918399
"L1Norm.16",0.814306506085417
"L1Norm.17",0.514924362027974
"L1Norm.18",0.373799006153928
"L1Norm.19",0.370719850242476
"L1Norm.20",0.413394198192919
"L1Norm.21",0.950606127249164
"L1Norm.22",1.31338276193449
"L1Norm.23",0.623296877949296
"L1Norm.24",0.750107682563635
"L1Norm.25",0.489890581832217
"L1Norm.26",0.663887032975455
"L1Norm.27",1.30560492821379
"L1Norm.28",0.589226162253027
"L1Norm.29",0.694026019144388
"L1Norm.30",0.502414118543169
"L1Norm.31",0.286080323758878
"L1Norm.32",0.598552262726921
"L1Norm.33",0.391485733200003
"L1Norm.34",0.675155317619311
"L1Norm.35",0.468456731262413
"L1Norm.36",1.037104402876
"L1Norm.37",0.653645272053515
"L1Norm.38",0.522994180562574
"L1Norm.39",1.13106933813632
"L1Norm.40",0.532412146152134
"L1Norm.41",2.03758494395134
"L1Norm.42",0.335123495963977
"L1Norm.43",0.616815896999811
"L1Norm.44",0.423559851390989
"L1Norm.45",0.357384731483436
"L1Norm.46",0.985086179603473
"L1Norm.47",0.519865180768035
"L1Norm.48",0.549199902958378
"L1Norm.49",0.526966076795069
"L1Norm.50",0.399305523265836
"L1Norm.51",0.477662611476225
"L1Norm.52",0.470706682297149
"L1Norm.53",0.40115009579469
"L1Norm.54",0.508087841667588
"L1Norm.55",0.609609615071839
"L1Norm.56",1.34881894602716
"L1Norm.57",0.671539004313363
"L1Norm.58",0.380193299026581
"L1Norm.59",0.386478786912873
"L1Norm.60",0.628692057725522
"L1Norm.61",0.864324404895059
"L1Norm.62",0.361264063777593
"L1Norm.63",0.449926920401878
"L1Norm.64",0.703368145810497
"L1Norm.65",0.601562364446828
"L1Norm.66",0.312352263803588
"L1Norm.67",0.349453376191479
"L1Norm.68",0.842689213846259
"L1Norm.69",1.50675311207123
"L1Norm.70",1.65180469434503
"L1Norm.71",0.726575423863474
"L1Norm.72",0.462282083674157
"L1Norm.73",0.670689296609612
"L1Norm.74",0.388742847186739
"L1Norm.75",0.445514390313098
"L1Norm.76",0.607141402572029
"L1Norm.77",0.294035170002066
"L1Norm.78",0.363134412300568
"L1Norm.79",0.54022373741886
"L1Norm.80",0.391093732835626
"L1Norm.81",0.766821981157464
"L1Norm.82",0.627373928970649
"L1Norm.83",0.855440611757729
"L1Norm.84",0.539557746488926
"L1Norm.85",0.521301057923314
