"","MeanDecreaseGini"
"L2Norm.1",0.716696045468467
"L2Norm.2",13.6101929753497
"L2Norm.3",9.64030723220647
"L2Norm.4",1.72451313189901
"L2Norm.5",1.13202978677352
"L2Norm.6",1.35555813787322
"L2Norm.7",5.75412937744581
"L2Norm.8",0.790069131635915
"L2Norm.9",1.95170383319476
"L2Norm.10",2.18833138108977
"L2Norm.11",0.991053534514329
"L2Norm.12",0.348266355028032
"L2Norm.13",0.683825771644581
"L2Norm.14",0.616595725008345
"L2Norm.15",0.481969808868228
"L2Norm.16",0.613105849282881
"L2Norm.17",0.445223397709884
"L2Norm.18",0.336107818434099
"L2Norm.19",0.252934848025698
"L2Norm.20",0.49007717374741
"L2Norm.21",0.500123771034689
"L2Norm.22",0.446961375402407
"L2Norm.23",0.378797128788144
"L2Norm.24",0.34491717612389
"L2Norm.25",0.63549763619951
"L2Norm.26",0.294840420099619
"L2Norm.27",1.14611180762786
"L2Norm.28",0.554898792891154
"L2Norm.29",0.888715889679192
"L2Norm.30",1.00324849941854
"L2Norm.31",0.977547119027327
"L2Norm.32",0.204430254026504
"L2Norm.33",1.32136263755595
"L2Norm.34",1.18795685685907
"L2Norm.35",0.517305530645251
"L2Norm.36",0.36372143690528
"L2Norm.37",0.483308452407805
"L2Norm.38",0.392485703232565
"L2Norm.39",0.311175978442745
"L2Norm.40",0.57442108503633
"L2Norm.41",0.556697779365903
"L2Norm.42",0.33762740835252
"L2Norm.43",0.477883869381821
"L2Norm.44",0.637375324967389
"L2Norm.45",0.175599317755778
"L2Norm.46",0.357568825448045
"L2Norm.47",0.640466028769594
"L2Norm.48",0.687422091706949
"L2Norm.49",0.563729259386773
"L2Norm.50",0.675807769910207
"L2Norm.51",1.30963685801237
"L2Norm.52",0.874107400053904
"L2Norm.53",2.58261164426968
"L2Norm.54",0.393272651153613
"L2Norm.55",0.406397560847344
"L2Norm.56",0.562977239804114
"L2Norm.57",0.483028524204097
"L2Norm.58",0.355710561047093
"L2Norm.59",0.457563745850326
"L2Norm.60",0.576760945276212
"L2Norm.61",0.287307412283584
"L2Norm.62",0.304104795512423
"L2Norm.63",0.348049729820327
"L2Norm.64",0.662583379414518
"L2Norm.65",0.321917295593331
"L2Norm.66",0.335218009957376
"L2Norm.67",0.288492076921879
"L2Norm.68",0.298396060449054
"L2Norm.69",0.235869794712719
"L2Norm.70",0.293931100716868
"L2Norm.71",0.379551044063575
"L2Norm.72",0.585014069070578
"L2Norm.73",0.378105902692333
"L2Norm.74",0.475139930072787
"L2Norm.75",0.250460248191793
"L2Norm.76",0.700027782844762
"L2Norm.77",0.233419440870802
"L2Norm.78",0.727484255488658
"L2Norm.79",0.519350044060119
"L2Norm.80",0.27925729262364
"L2Norm.81",0.509119407145603
"L2Norm.82",0.417988879622215
"L2Norm.83",0.4243765162135
"L2Norm.84",0.579356559228776
"L2Norm.85",0.637227462064681
"L2Norm.86",0.475012135437042
"L2Norm.87",0.522847549460823
"L2Norm.88",0.399423291625313
"L2Norm.89",0.323565386930724
"L2Norm.90",1.00575391006764
"L2Norm.91",0.330986606621963
"L2Norm.92",0.292084969025911
"L2Norm.93",0.442218014227934
"L2Norm.94",0.353950335610315
"L2Norm.95",0.298546164004248
"L2Norm.96",0.629845912634699
"L2Norm.97",0.564180877368099
"L2Norm.98",0.378863626252063
"L2Norm.99",0.323337325922557
"L2Norm.100",0.350211836081882
"L2Norm.101",0.217611786796683
"L2Norm.102",0.228207830026917
"L2Norm.103",0.346770261029419
"L2Norm.104",0.486282513291545
"L2Norm.105",0.403852449390136
"L2Norm.106",0.78904832171869
"L2Norm.107",0.285281769526818
"L2Norm.108",0.319958845573927
"L2Norm.109",0.325004377040979
"L2Norm.110",0.544518252365234
"L2Norm.111",0.39241629749163
"L2Norm.112",0.262869087500165
"L2Norm.113",0.274427322363243
"L2Norm.114",0.319569670531359
"L2Norm.115",0.725944407872768
"L2Norm.116",0.652919812594372
"L2Norm.117",0.508878271778192
"L2Norm.118",0.204447210594325
"L2Norm.119",0.737888478097364
"L2Norm.120",0.382386775097045
"L2Norm.121",0.334197229119475
"L2Norm.122",0.225754487417023
"L2Norm.123",0.533799253154485
"L2Norm.124",0.357898521741658
"L2Norm.125",0.578091493839071
"L2Norm.126",0.320238210786927
"L2Norm.127",0.873736534269808
"L2Norm.128",0.19032316818852
"L2Norm.129",0.476689475104612
"L2Norm.130",0.262832838162055
"L2Norm.131",0.299427266316613
"L2Norm.132",0.56360913870844
"L2Norm.133",0.445661739103597
"L2Norm.134",0.397727663155559
"L2Norm.135",0.378741308912387
"L2Norm.136",0.401317200312149
"L2Norm.137",0.461272127010109
"L2Norm.138",0.320046820061673
"L2Norm.139",0.285228177926723
"L2Norm.140",0.581738995711262
"L2Norm.141",0.246069590065311
"L2Norm.142",0.23185314108389
"L2Norm.143",0.255819957566446
"L2Norm.144",0.25888499112042
"L2Norm.145",0.431162821639952
"L2Norm.146",0.586873003171358
"L2Norm.147",0.453938481559845
"L2Norm.148",0.376108339367042
"L2Norm.149",0.488675510977935
"L2Norm.150",0.722541235620409
"L2Norm.151",0.343811983441129
"L2Norm.152",0.333104536581128
"L2Norm.153",0.28745551584587
"L2Norm.154",0.295219655532304
"L2Norm.155",0.410144866993374
"L2Norm.156",0.326012761465862
"L2Norm.157",0.435713890227077
"L2Norm.158",0.311369944596408
"L2Norm.159",0.331346972774299
"L2Norm.160",0.77468290359165
"L2Norm.161",0.578492054130398
"L2Norm.162",0.302732691211583
"L2Norm.163",0.584652891502529
"L2Norm.164",0.489585812129198
"L2Norm.165",0.570111093767952
"L2Norm.166",0.35891410859636
"L2Norm.167",0.259632638495198
"L2Norm.168",0.362747509838404
"L2Norm.169",0.46668877272438
"L2Norm.170",0.514504295928149
"L2Norm.171",0.27757196705652
"L2Norm.172",0.393407357990604
"L2Norm.173",0.392549932739843
"L2Norm.174",0.34322662319637
"L2Norm.175",0.387440521869802
"L2Norm.176",0.248611886296835
"L2Norm.177",0.383832991103702
"L2Norm.178",0.246652822031392
"L2Norm.179",1.21259472857694
"L2Norm.180",0.542975326244985
"L2Norm.181",0.33678116861758
"L2Norm.182",0.345626068889348
"L2Norm.183",0.309392077336545
"L2Norm.184",0.207824733226206
"L2Norm.185",0.27393393093371
"L2Norm.186",0.30007011236882
"L2Norm.187",0.402439053439755
"L2Norm.188",0.379136356899572
"L2Norm.189",0.35495511450097
"L2Norm.190",0.394585244159913
"L2Norm.191",0.260261127659916
"L2Norm.192",0.803516096947012
"L2Norm.193",0.267392580107102
"L2Norm.194",0.475972008033969
"L2Norm.195",0.991513369977156
"L2Norm.196",0.421561613049297
"L2Norm.197",0.716962155904018
"L2Norm.198",0.473743582226443
"L2Norm.199",0.327001071221333
"L2Norm.200",0.199967414572013
"L2Norm.201",0.63238363007952
"L2Norm.202",0.360964941760085
"L2Norm.203",0.3485396306982
"L2Norm.204",0.264153068094259
"L2Norm.205",0.357535594029146
"L2Norm.206",0.268413771504384
"L2Norm.207",0.331156507688563
"L2Norm.208",0.304373152848874
"L2Norm.209",0.324763359072235
"L2Norm.210",0.415864120171291
"L2Norm.211",0.338005729024763
"L2Norm.212",0.212724434537442
"L2Norm.213",0.266131465384737
"L2Norm.214",0.714484498174455
"L2Norm.215",0.37277759011249
"L2Norm.216",0.355307269645193
"L2Norm.217",0.322817152916118
"L2Norm.218",0.2220702313093
"L2Norm.219",0.543590920536472
"L2Norm.220",0.224447819394571
"L2Norm.221",0.180544297491566
"L2Norm.222",0.27302397040355
"L2Norm.223",0.265257690560387
"L2Norm.224",0.323745055081259
"L2Norm.225",0.215697544878591
"L2Norm.226",0.453198365132177
"L2Norm.227",0.277890352792773
"L2Norm.228",0.206235513516262
"L2Norm.229",0.30179691096404
"L2Norm.230",0.353230775582524
"L2Norm.231",0.392542581287459
"L2Norm.232",0.224999505295462
"L2Norm.233",0.436361998241848
"L2Norm.234",0.317780706202151
"L2Norm.235",0.672526922412639
"L2Norm.236",0.415516094724286
"L2Norm.237",0.28147750620144
"L2Norm.238",0.81904224316815
"L2Norm.239",0.209206806162233
"L2Norm.240",0.562973894510019
"L2Norm.241",0.321769872178908
"L2Norm.242",0.43985420202617
"L2Norm.243",0.455497229585358
"L2Norm.244",0.491962417312853
"L2Norm.245",0.399943246323399
"L2Norm.246",0.451607947493055
"L2Norm.247",0.181327883410797
"L2Norm.248",0.276347534198764
"L2Norm.249",0.24409525446947
"L2Norm.250",0.800971485501872
