"","MeanDecreaseGini"
"inact.1",0.145702040159405
"inadur.1",0.0540320969094781
"inadist.1",0.133851933173902
"smlct.1",0.0442904709377473
"smldur.1",0.0582506875466328
"smldist.1",0.0265859838848603
"larct.1",0.0224686868686869
"lardur.1",0.0322138574339352
"lardist.1",0.042082714014423
"inact.2",0.444078495984163
"inadur.2",0.933115174132657
"inadist.2",0.278860185738928
"smlct.2",1.60519022528265
"smldur.2",0.808710130588458
"smldist.2",1.15192988848469
"larct.2",2.21102884587681
"lardur.2",1.6502583758138
"lardist.2",2.26355155484974
"inact.3",0.155597638316098
"inadur.3",0.554444336168709
"inadist.3",0.57087553979058
"smlct.3",0.48996106755919
"smldur.3",0.438716057147773
"smldist.3",0.278367756345416
"larct.3",0.238323527989763
"lardur.3",0.237093180400435
"lardist.3",0.428638694618289
"inact.4",0.0963282315807724
"inadur.4",0.617924750430664
"inadist.4",0.0691861526431669
"smlct.4",0.390635343870232
"smldur.4",0.210669990338729
"smldist.4",0.202030539328143
"larct.4",0.0365687781919942
"lardur.4",0.0385177420259583
"lardist.4",0.120171771846632
"inact.5",0.638825375339266
"inadur.5",0.378710011816842
"inadist.5",0.165176113506528
"smlct.5",0.112292371890906
"smldur.5",0.184088179582525
"smldist.5",0.116403650006012
"larct.5",0.055879255400483
"lardur.5",0.0157627095908786
"lardist.5",0.0463624707638533
"inact.6",0.568351363906479
"inadur.6",0.691303880414147
"inadist.6",0.451824810057738
"smlct.6",0.228568329808165
"smldur.6",0.0959587390160714
"smldist.6",0.0322541793805485
"larct.6",0.0400581216973892
"lardur.6",0.0227888888888889
"lardist.6",0.0683294988123987
"inact.7",0.35164535142094
"inadur.7",0.84480226540803
"inadist.7",0.330275533759649
"smlct.7",0.600663630208237
"smldur.7",0.167849388461605
"smldist.7",0.117028705085159
"larct.7",0.0285333484670228
"lardur.7",0.0838336763739519
"lardist.7",0.0871896283395036
"inact.8",0.404144751741903
"inadur.8",0.531567316113507
"inadist.8",0.313439511639976
"smlct.8",0.0662325746457419
"smldur.8",0.00815972222222222
"smldist.8",0.0432158024929976
"larct.8",0.003581868640148
"lardur.8",0.0197660702264111
"lardist.8",0.0230780811175548
"inact.9",0.114334039170665
"inadur.9",0.0964651769623266
"inadist.9",0.139165139397613
"smlct.9",0.113424685164163
"smldur.9",0.138962967501692
"smldist.9",0.0942842711004997
"larct.9",0.020887150989428
"lardur.9",0.0409296756489577
"lardist.9",0.0140007597340931
"inact.10",0.210405433329818
"inadur.10",0.142411799455602
"inadist.10",0.372442941758173
"smlct.10",0.185751428599208
"smldur.10",0.14284503844723
"smldist.10",0.0324402091485256
"larct.10",0.00387096774193548
"lardur.10",0.0547371560777864
"lardist.10",0.0236638989943451
"inact.11",0.128051774542738
"inadur.11",0.201847001102531
"inadist.11",0.0547806097722484
"smlct.11",0.0148168104091594
"smldur.11",0
"smldist.11",0.0388043059238392
"larct.11",0.0286699085646454
"lardur.11",0.0147104514533086
"lardist.11",0.022597999701448
"inact.12",0.0959452519996271
"inadur.12",0.147696679385809
"inadist.12",0.0359960098513252
"smlct.12",0.0397515785449384
"smldur.12",0.0784536318182438
"smldist.12",0.04326931415468
"larct.12",0.0586016041531986
"lardur.12",0.0863393108674641
"lardist.12",0.0565459017308132
"inact.13",0.0495947989739773
"inadur.13",0.151163382134394
"inadist.13",0.0479872729945248
"smlct.13",0.0347051976479982
"smldur.13",0.00972222222222222
"smldist.13",0.0408307628357609
"larct.13",0.0230916666666667
"lardur.13",0.0498756784571615
"lardist.13",0.0500160656171213
"inact.14",0.0505773706666234
"inadur.14",0.125942169878136
"inadist.14",0.00838095238095238
"smlct.14",0.0835242028918168
"smldur.14",0.0592867338763153
"smldist.14",0.10188104271901
"larct.14",0.0142949629914448
"lardur.14",0.0646432702246107
"lardist.14",0.0200225429309359
"inact.15",0.0421326168865764
"inadur.15",0.267126436571294
"inadist.15",0.111515689795162
"smlct.15",0.0133572846707075
"smldur.15",0.0193957864357864
"smldist.15",0.0203244990303814
"larct.15",0.0648750453495976
"lardur.15",0.0537657389347463
"lardist.15",0.0145468872830882
"inact.16",0.137972202016143
"inadur.16",0.298630167393692
"inadist.16",0.0856863504840457
"smlct.16",0.023858210180624
"smldur.16",0.0679801333005714
"smldist.16",0.0320996761692414
"larct.16",0.0151259089169537
"lardur.16",0.0446210412389502
"lardist.16",0.0326422975670013
"inact.17",0.0778009969478684
"inadur.17",0.207378863323464
"inadist.17",0.125943830233801
"smlct.17",0.026197682520151
"smldur.17",0.0338452448271021
"smldist.17",0.0705763156968055
"larct.17",0.0161448985265499
"lardur.17",0.0335380027011584
"lardist.17",0.016005346174544
"inact.18",0.0672786946122613
"inadur.18",0.106984768662223
"inadist.18",0.0673826853518407
"smlct.18",0.0794837995350444
"smldur.18",0.07741282331775
"smldist.18",0.0927746881386661
"larct.18",0.00363636363636364
"lardur.18",0.0032
"lardist.18",0.0387315814600328
"inact.19",0.0514332537032645
"inadur.19",0.173776791681645
"inadist.19",0.0575001074308204
"smlct.19",0.0826565379495612
"smldur.19",0.010040404040404
"smldist.19",0.0465243857057946
"larct.19",0.0350065424270303
"lardur.19",0.0305923078887518
"lardist.19",0.00394594594594594
"inact.20",0.063553175918649
"inadur.20",0.052616524773376
"inadist.20",0.0390846703888725
"smlct.20",0.0160526132404181
"smldur.20",0.024755376344086
"smldist.20",0.031219838245361
"larct.20",0.0376890756302521
"lardur.20",0.03728368769994
"lardist.20",0.0464706380575946
"inact.21",0.0725784939755037
"inadur.21",0.0765024150183146
"inadist.21",0.0112828460038987
"smlct.21",0.0633133169735764
"smldur.21",0.0439942289554167
"smldist.21",0.0551152010687725
"larct.21",0.0385425236238104
"lardur.21",0.0472938446114015
"lardist.21",0.0284030527431848
"inact.22",0.0188648242055443
"inadur.22",0.198921245133726
"inadist.22",0.0658495421177504
"smlct.22",0.0504250542128203
"smldur.22",0.125530219632896
"smldist.22",0.0196086510529985
"larct.22",0.0325278429650466
"lardur.22",0.046193489190548
