"","MeanDecreaseGini"
"inact.1",0.752361783846373
"inadur.1",0.931972459019933
"inadist.1",0.946451153191335
"smlct.1",1.020430882321
"smldur.1",1.00375025825499
"smldist.1",0.27125113338709
"larct.1",0.0844514693639775
"lardur.1",0.0391738473343775
"lardist.1",0.0756952497431064
"inact.2",0.056687224964932
"inadur.2",0.267915496301477
"inadist.2",0.0785779971229191
"smlct.2",0.155235056579361
"smldur.2",0.0212413919413919
"smldist.2",0.0920094007054275
"larct.2",0.0247987051482192
"lardur.2",0.0380055918092921
"lardist.2",0.0203999642217033
"inact.3",0.178037565686124
"inadur.3",0.182862132798457
"inadist.3",0.0733478466383059
"smlct.3",0.0834666544997816
"smldur.3",0.0420351395730706
"smldist.3",0.112167658295256
"larct.3",0.0176034822787616
"lardur.3",0.00650666666666667
"lardist.3",0.00672409002500694
"inact.4",0.158251772974608
"inadur.4",0.0171425597228653
"inadist.4",0.0526723785236435
"smlct.4",0.0520382933233338
"smldur.4",0.292328807370652
"smldist.4",0.0499288150529069
"larct.4",0.0261046153846154
"lardur.4",0.0131063718889806
"lardist.4",0.0307763127308037
"inact.5",0.0946947623122408
"inadur.5",0.0547201888827629
"inadist.5",0.038635149354492
"smlct.5",0.204720885933338
"smldur.5",0.0738790643105858
"smldist.5",0.0303843533502884
"larct.5",0.0230421039305522
"lardur.5",0.00662857142857143
"lardist.5",0.00758518518518519
"inact.6",0.0812933636694606
"inadur.6",0.0678353555087538
"inadist.6",0.0152748215151742
"smlct.6",0.0551743158605013
"smldur.6",0.124742783458789
"smldist.6",0.098800965149031
"larct.6",0.00992514919011084
"lardur.6",0.0147647058823529
"lardist.6",0.00924057971014493
"inact.7",0.0818511201713167
"inadur.7",0.0491598201155755
"inadist.7",0.0232532870469527
"smlct.7",0.198128899108065
"smldur.7",0.112329611892127
"smldist.7",0.179156602247976
"larct.7",0.027354991591217
"lardur.7",0.0305507610668901
"lardist.7",0.0759768103319264
"inact.8",0.100298126429129
"inadur.8",0.0707396250106851
"inadist.8",0.0418896329373998
"smlct.8",0.104738124953205
"smldur.8",0.22154182760083
"smldist.8",0.023291670991178
"larct.8",0.00566666666666667
"lardur.8",0.00727719298245614
"lardist.8",0.0193411477411477
"inact.9",0.046787093118309
"inadur.9",0.0261603174603174
"inadist.9",0.0107594202898551
"smlct.9",0.0322852913390936
"smldur.9",0.162413804392855
"smldist.9",0.0539193338204847
"larct.9",0.00451809523809524
"lardur.9",0.00993650793650794
"lardist.9",0.0180043899224075
"inact.10",0.246582931587288
"inadur.10",0.0970339801779815
"inadist.10",0.0983348116554646
"smlct.10",0.268780006569776
"smldur.10",0.268804271638413
"smldist.10",0.0764096096003219
"larct.10",0.0669454641807583
"lardur.10",0.00720878552089732
"lardist.10",0.0694786078241527
"inact.11",0.102997927887292
