"","MeanDecreaseGini"
"inadist.1",0.196574872155356
"smldist.1",0.0880836721541133
"lardist.1",0.310363259150427
"inadist.2",1.2365235968979
"smldist.2",4.87707809162616
"lardist.2",5.84179846064239
"inadist.3",1.67410399606695
"smldist.3",1.47215206389082
"lardist.3",1.69715509359604
"inadist.4",0.607480251126827
"smldist.4",0.772391746961545
"lardist.4",0.172532237992061
"inadist.5",0.57649208726668
"smldist.5",0.478451225752904
"lardist.5",0.106651871153936
"inadist.6",1.3431938973273
"smldist.6",0.25590238622281
"lardist.6",0.140610456068083
"inadist.7",1.62776945598352
"smldist.7",0.518603695815323
"lardist.7",0.427918330240842
"inadist.8",0.819106219870479
"smldist.8",0.157729738503618
"lardist.8",0.062408560946868
"inadist.9",0.589889525433877
"smldist.9",0.106141695005706
"lardist.9",0.123728437208499
"inadist.10",1.54540858775844
"smldist.10",0.151947295776875
"lardist.10",0.0813649542821921
"inadist.11",0.332116594795848
"smldist.11",0.406772096418627
"lardist.11",0.130503460179269
"inadist.12",0.182082070256105
"smldist.12",0.261566115074169
"lardist.12",0.237256094350047
"inadist.13",0.187910813439355
"smldist.13",0.0781347423628854
"lardist.13",0.123332807252236
"inadist.14",0.10824352988129
"smldist.14",0.343305075137156
"lardist.14",0.0794485935671476
"inadist.15",0.134927791042002
"smldist.15",0.179189810728037
"lardist.15",0.049596956332664
"inadist.16",0.371217894465521
"smldist.16",0.176026937770809
"lardist.16",0.0906160514835161
"inadist.17",0.416366535607599
"smldist.17",0.187202145723621
"lardist.17",0.0846926819326664
"inadist.18",0.215790142292392
"smldist.18",0.331219058447596
"lardist.18",0.163634900883843
"inadist.19",0.119220535222233
"smldist.19",0.106825492729944
"lardist.19",0.0719592734942386
"inadist.20",0.181114644831313
"smldist.20",0.13780280425889
"lardist.20",0.0985266531975644
"inadist.21",0.178237130846051
"smldist.21",0.12964795511399
"lardist.21",0.110343465603262
"inadist.22",0.262255002147053
"smldist.22",0.164443471220942
"lardist.22",0.132735067803917
"inadist.23",0.331157780887026
"smldist.23",0.194407588196519
"lardist.23",0.0531184791494085
"inadist.24",0.143945104805523
"smldist.24",0.22462940971579
"lardist.24",0.17180252497473
"inadist.25",0.109224748205634
"smldist.25",0.149691654984047
"lardist.25",0.1016289196415
"inadist.26",0.144657715198568
"smldist.26",0.0573511880617023
"lardist.26",0.0541987200403828
"inadist.27",0.748375372429402
"smldist.27",0.197866170572453
"lardist.27",0.08961864175637
"inadist.28",0.279412532279937
"smldist.28",0.150639473913731
"lardist.28",0.126302710193256
"inadist.29",0.357465841193971
"smldist.29",0.0988781193855298
"lardist.29",0.0703093998280133
"inadist.30",0.422088939702455
"smldist.30",0.144646318143216
"lardist.30",0.183300647445103
"inadist.31",0.341081169052821
"smldist.31",0.325349275736867
"lardist.31",0.084969728559018
