"","MeanDecreaseGini"
"inadist.1",1.47982234769925
"smldist.1",0.658170287235996
"lardist.1",0.264444304984805
"inadist.2",0.293207503121244
"smldist.2",0.14116096541469
"lardist.2",0.188362572284153
"inadist.3",0.275363397763277
"smldist.3",0.250493488293907
"lardist.3",0.151314848066223
"inadist.4",0.166411256846302
"smldist.4",0.238354794894233
"lardist.4",0.091149287255444
"inadist.5",0.199071274064262
"smldist.5",0.120337249536071
"lardist.5",0.174569470070716
"inadist.6",0.212969772104958
"smldist.6",0.178337537445705
"lardist.6",0.183636285238121
"inadist.7",0.146492453619354
"smldist.7",0.206219426664096
"lardist.7",0.122626254136336
"inadist.8",0.194563677748467
"smldist.8",0.228632557257851
"lardist.8",0.169493782650936
"inadist.9",0.173260034422508
"smldist.9",0.180551281268925
"lardist.9",0.0758661824432877
"inadist.10",0.200298779112789
"smldist.10",0.256256684994434
"lardist.10",0.156336986009192
"inadist.11",0.218572744920494
"smldist.11",0.218225391210928
"lardist.11",0.160358839516817
"inadist.12",0.160889146582738
"smldist.12",0.425262725798751
"lardist.12",0.178076561922786
"inadist.13",0.167367225973169
"smldist.13",0.255778585189158
"lardist.13",0.0993164438647487
"inadist.14",0.185744102003278
"smldist.14",0.405218502016396
"lardist.14",0.0555495535481604
"inadist.15",0.108971327635361
"smldist.15",0.404402614796225
"lardist.15",0.266089184289154
"inadist.16",0.209726219209449
"smldist.16",0.319387020933742
"lardist.16",0.146563682019268
"inadist.17",0.173743150921799
"smldist.17",0.299326332941538
"lardist.17",0.139246715162157
"inadist.18",0.135019754565274
"smldist.18",0.441500624459718
"lardist.18",0.202141093547349
"inadist.19",0.188475294990696
"smldist.19",0.224273059442759
"lardist.19",0.132188735506756
"inadist.20",0.118823873611155
"smldist.20",0.258613932670291
"lardist.20",0.109664787083476
"inadist.21",0.195875867303102
"smldist.21",0.197134022546881
"lardist.21",0.136349547008819
"inadist.22",0.176050098088738
"smldist.22",0.417308200864118
"lardist.22",0.201636457783388
"inadist.23",0.200386546787192
"smldist.23",0.243878956751525
"lardist.23",0.428711908584331
"inadist.24",0.157970692237175
"smldist.24",0.329127664800816
"lardist.24",0.093924533583908
"inadist.25",0.189061837524096
"smldist.25",0.199429161866787
"lardist.25",0.129539833593122
"inadist.26",0.180360342643371
"smldist.26",0.173449889610177
"lardist.26",0.101805433972352
"inadist.27",0.21492761388059
"smldist.27",0.128926505139226
"lardist.27",0.164292012918166
"inadist.28",0.0967840080942911
"smldist.28",0.221433711595287
"lardist.28",0.0783749208222619
"inadist.29",0.204092382636772
"smldist.29",0.176736344817816
"lardist.29",0.112247772435621
"inadist.30",0.166586475162435
"smldist.30",0.12595553631623
"lardist.30",0.124716982072232
"inadist.31",0.169776924435303
"smldist.31",0.234078805419774
"lardist.31",0.10840183575394
"inadist.32",0.225328403479395
"smldist.32",0.1737804627961
"lardist.32",0.0966713481558256
