"","MeanDecreaseGini"
"distance.1",0.273945592679448
"distance.2",16.4987328164028
"distance.3",8.76949806915826
"distance.4",1.71989650191051
"distance.5",1.99139546633936
"distance.6",2.59797304852005
"distance.7",4.11778207837552
"distance.8",1.52075921583918
"distance.9",1.16343095242113
"distance.10",1.16785760097484
"distance.11",0.660286300890593
"distance.12",0.463747117532671
"distance.13",0.33643955137074
"distance.14",0.372744845886734
"distance.15",0.267304077518346
"distance.16",0.537945758228301
"distance.17",0.376824321272086
"distance.18",0.263921739474668
"distance.19",0.534611486604613
"distance.20",0.431456220821459
"distance.21",0.43094325921327
"distance.22",0.445509748899248
"distance.23",0.258249062082626
"distance.24",0.477819118775757
"distance.25",0.488037948494092
"distance.26",0.254978035547572
"distance.27",1.4321467990507
"distance.28",0.739855744348966
"distance.29",0.461801274112492
"distance.30",0.581639018093963
"distance.31",1.33147031559187
"distance.32",0.638770713295735
"distance.33",0.955040186813273
"distance.34",1.81504229368224
"distance.35",1.304012508181
"distance.36",0.373401443410812
"distance.37",0.429292207923226
"distance.38",0.340435125083722
"distance.39",0.309237143948009
"distance.40",0.428738042964502
"distance.41",0.589495065345439
"distance.42",0.380533605852852
"distance.43",0.463342308922154
"distance.44",0.351516049972532
"distance.45",0.328510453881609
"distance.46",0.62359593817852
"distance.47",0.464356359731593
"distance.48",1.12768332386245
"distance.49",0.600871781320815
"distance.50",0.765252373699968
"distance.51",2.16469058094307
"distance.52",0.974760703422655
"distance.53",2.82541171728075
"distance.54",0.452922417892713
"distance.55",0.52299522743228
"distance.56",0.508479824316148
"distance.57",0.432241092221284
"distance.58",0.438523072790481
"distance.59",0.408639879977233
"distance.60",0.655941057629688
"distance.61",0.38901815505929
"distance.62",0.237075242445306
"distance.63",0.311889677245118
"distance.64",0.680529915934039
"distance.65",0.448711234849734
"distance.66",0.350081077173714
"distance.67",0.506830596143774
"distance.68",0.322938909930636
"distance.69",0.304170957283536
"distance.70",0.367315482814122
"distance.71",0.350864606592441
"distance.72",0.450285921769765
"distance.73",0.50954993084926
"distance.74",0.376970033455887
"distance.75",0.543485015235397
"distance.76",0.677404231809775
"distance.77",0.345007316796933
"distance.78",0.230691209495865
"distance.79",0.493319555115998
"distance.80",0.395059968719191
"distance.81",0.405558190174262
"distance.82",0.5418639642289
"distance.83",0.522421315774661
"distance.84",0.471554737034889
