"","MeanDecreaseGini"
"distance.1",19.9119018102544
"distance.2",1.56774696165796
"distance.3",1.47721133132901
"distance.4",0.655892921138414
"distance.5",1.26459447505756
"distance.6",1.49374890882386
"distance.7",0.936508230990442
"distance.8",0.777114443089475
"distance.9",0.627196445726248
"distance.10",1.39788508195193
"distance.11",0.567729894784685
"distance.12",0.546689203785158
"distance.13",0.318082970678544
"distance.14",0.453940407778125
"distance.15",0.39760603333405
"distance.16",0.378035148560969
"distance.17",0.656432817901788
"distance.18",0.678939572299093
"distance.19",0.321236840635242
"distance.20",0.189323146793203
"distance.21",1.41484191634023
"distance.22",1.18061609215242
"distance.23",0.759180249485435
"distance.24",0.412020918096298
"distance.25",0.322729185627853
"distance.26",0.701306588605704
"distance.27",0.373005455493128
"distance.28",0.217655831258073
"distance.29",0.35020625956582
"distance.30",0.937301453530147
"distance.31",0.512360070422716
"distance.32",0.99110848805874
"distance.33",0.306658107588235
"distance.34",0.508566373369292
"distance.35",0.681697527471145
"distance.36",0.351527598708832
"distance.37",0.514666467268594
"distance.38",0.98780081687836
"distance.39",0.500719968512409
"distance.40",0.431929104356575
"distance.41",0.623563196620554
"distance.42",0.321932442160503
"distance.43",0.843846604050002
"distance.44",0.200818474100966
"distance.45",0.177131817563653
"distance.46",0.399530700472595
"distance.47",0.404476715541563
"distance.48",0.425357881508833
"distance.49",0.134753017190075
"distance.50",0.644471150284783
"distance.51",0.34955624486118
"distance.52",0.416114422991392
"distance.53",0.217708233852324
"distance.54",0.270975508728558
"distance.55",0.395143277738802
"distance.56",0.216788267841401
"distance.57",0.550898475446034
"distance.58",0.25108234369626
"distance.59",0.277376096865893
"distance.60",0.474726909342209
"distance.61",0.188565551754651
"distance.62",0.365840095903952
"distance.63",0.425903233292589
"distance.64",0.819543715238975
"distance.65",0.320940363885928
"distance.66",0.218937415584726
"distance.67",0.346489674572931
"distance.68",0.554370921155931
"distance.69",1.48577983771796
"distance.70",0.787610111340088
"distance.71",0.847209404995508
"distance.72",0.259418851216009
"distance.73",0.673921564614339
"distance.74",0.277587947899892
"distance.75",0.30636708957186
"distance.76",0.605942391377667
"distance.77",0.195002015900863
"distance.78",0.457302664694488
"distance.79",0.176326726710482
"distance.80",0.19313055994494
"distance.81",0.688081695620662
"distance.82",0.521449954510165
"distance.83",0.314051720104702
"distance.84",0.171966343383165
"distance.85",0.280153111155195
"distance.86",0.425588585225767
"distance.87",0.214168860837225
"distance.88",0.153938783386277
"distance.89",0.156486381180207
"distance.90",0.398609072225992
"distance.91",0.447006369164775
"distance.92",0.192280554840367
"distance.93",0.365547389991632
"distance.94",0.394468866949293
"distance.95",0.261527573402293
"distance.96",0.503406060005996
"distance.97",0.197229809556737
"distance.98",0.299704750918771
"distance.99",0.171739594700285
"distance.100",0.205601263923493
"distance.101",0.316372073413858
"distance.102",0.231641235860762
"distance.103",0.552799883766114
"distance.104",0.365301103157429
"distance.105",0.301165068453187
"distance.106",0.303365118414254
"distance.107",0.47367521991002
"distance.108",0.28843774169205
"distance.109",0.267912365264001
"distance.110",0.56804797837341
"distance.111",0.22414840881305
"distance.112",0.169432359763251
"distance.113",0.384119665287439
"distance.114",0.486005860487784
"distance.115",0.221134493283236
"distance.116",0.395940781224612
"distance.117",0.15533895924228
