"","X.log10P","log2FC","feature","SigDiff","norm"
"inadur.2",4.32189152611717,0.909050848508894,"inadur.2","UP",4.41646009929878
"smlct.2",3.57105570996443,1.37994748757486,"smlct.2","UP",3.82840618954333
"larct.2",3.15477789357099,1.73075220282207,"larct.2","UP",3.59835055898361
"lardur.2",2.76586251054904,1.23951577704557,"lardur.2","UP",3.03090659519648
"lardist.2",4.12303203256741,1.48562355524652,"lardist.2","UP",4.3825187380638
"inact.3",2.29563496377728,0.770538827263119,"inact.3","UP",2.42150159430811
"inadur.3",5.27860162447849,0.761992897628978,"inadur.3","UP",5.3333168184521
"smlct.3",2.29563496377728,1.09199627623632,"smlct.3","UP",2.54212426018688
"inadur.4",4.12303203256741,0.676225471819873,"inadur.4","UP",4.17811847968855
"inact.5",3.30277065724028,0.780721555307962,"inact.5","UP",3.39379141392778
"inadur.5",4.12303203256741,0.619167677093247,"inadur.5","UP",4.16926393430951
"inact.6",2.35707265862311,0.676458105241915,"inact.6","UP",2.45222084775742
"inadur.6",4.37365963262496,0.837072244689712,"inadur.6","UP",4.45304261431248
"inact.7",2.45604934840133,0.707734677413096,"inact.7","UP",2.55598645837485
"inadur.7",5.76791915755863,0.764073181308958,"inadur.7","UP",5.81830724820608
"inact.8",2.26760624017703,0.638919870598742,"inact.8","UP",2.35589827062539
"inadur.8",4.22951619056889,0.691450646666578,"inadur.8","UP",4.28566344957931
"inact.10",2.21891431627731,0.60610370700005,"inact.10","UP",2.30020487057557
"inadur.10",3.20221327861504,0.666199196596964,"inadur.10","UP",3.27077838614678
"inadur.34",3.32179689827457,0.614605909997611,"inadur.34","UP",3.37817629172762
"inact.36",2.85650478544702,0.652914993157602,"inact.36","UP",2.93017364290442
"inact.46",2.67090136579784,0.602174134566625,"inact.46","UP",2.73794225544693
"inadur.46",3.36710906376337,0.640581927962743,"inadur.46","UP",3.42750180943933
"inadur.48",3.15477789357099,0.586837634666704,"inadur.48","UP",3.20889419695094
"inadur.50",4.12303203256741,0.610674877673931,"inadur.50","UP",4.16801115015292
"inact.53",2.62415356369084,0.603236374733934,"inact.53","UP",2.69259652559263
"inadur.53",3.57105570996443,0.593544464957644,"inadur.53","UP",3.62004612063871
"inadur.115",4.22951619056889,0.622507618279128,"inadur.115","UP",4.27508162975866
"inadur.127",2.92732294536538,0.644617211159092,"inadur.127","UP",2.99745741844403
"inact.145",2.54422754113976,0.617333416506632,"inact.145","UP",2.61805162825904
"inadur.155",3.74808113690428,0.682370682664864,"inadur.155","UP",3.80969053301947
"inact.254",2.68364447094187,0.638064082515725,"inact.254","UP",2.75845489718673
"inact.259",2.34170796069538,0.707734677413097,"inact.259","UP",2.44632061406455
"inadur.265",2.39254497678533,0.609816274550635,"inadur.265","UP",2.46903773860335
"inact.276",2.49622876630272,0.705005218381331,"inact.276","UP",2.59387555824525
"inadur.276",3.36343187189287,0.636224412613126,"inadur.276","UP",3.42307689952617
"inadur.277",3.14039690589117,0.598180920948398,"inadur.277","UP",3.19685988756429
