"","MeanDecreaseGini"
"L2Norm.1",0.695524457386761
"L2Norm.2",8.87149997948442
"L2Norm.3",5.96364965708376
"L2Norm.4",1.46074700541623
"L2Norm.5",2.10405780523771
"L2Norm.6",1.87879776483843
"L2Norm.7",4.05796725282339
"L2Norm.8",1.35878097456557
"L2Norm.9",0.980675591691371
"L2Norm.10",2.07380639265108
"L2Norm.11",1.19878440736087
"L2Norm.12",0.59144831824459
"L2Norm.13",0.836929125012984
"L2Norm.14",0.553733587303614
"L2Norm.15",0.524163489742869
"L2Norm.16",0.72392428565187
"L2Norm.17",0.506893513039146
"L2Norm.18",0.493530351339453
"L2Norm.19",0.270249215896535
"L2Norm.20",0.287802200144977
"L2Norm.21",0.348486194783248
"L2Norm.22",0.527370021968178
"L2Norm.23",0.289052472032685
"L2Norm.24",0.434717709479063
"L2Norm.25",0.551342997375189
"L2Norm.26",0.408312154897784
"L2Norm.27",0.717131579268149
"L2Norm.28",0.95435306368186
"L2Norm.29",1.11077726266759
"L2Norm.30",1.17378833882087
"L2Norm.31",0.989351177267832
"L2Norm.32",0.563157656493509
"L2Norm.33",1.04460193950484
"L2Norm.34",1.68804542622047
"L2Norm.35",0.809587318138965
"L2Norm.36",0.453573859793089
"L2Norm.37",0.317141740104267
"L2Norm.38",0.437339336937104
"L2Norm.39",0.477446101567481
"L2Norm.40",0.417400979705211
"L2Norm.41",0.423772839175261
"L2Norm.42",0.493673110726091
"L2Norm.43",0.521427891407055
"L2Norm.44",0.54221673905384
"L2Norm.45",0.529195443196029
"L2Norm.46",0.323137036414437
"L2Norm.47",0.441799897207434
"L2Norm.48",0.615929383256266
"L2Norm.49",0.310737233696122
"L2Norm.50",0.868447200751111
"L2Norm.51",0.833807643679531
"L2Norm.52",0.703934933091208
"L2Norm.53",2.1948385576264
"L2Norm.54",0.436652094894293
"L2Norm.55",0.380302840265933
"L2Norm.56",0.583269432214049
"L2Norm.57",0.711209860982205
"L2Norm.58",0.443130062544638
"L2Norm.59",0.359933840462404
"L2Norm.60",0.538304561101111
"L2Norm.61",0.391246652388441
"L2Norm.62",0.369688302570558
"L2Norm.63",0.419956347858941
"L2Norm.64",0.468129635220073
"L2Norm.65",0.50531952517323
"L2Norm.66",0.434451434845099
"L2Norm.67",0.321321438340176
"L2Norm.68",0.659857185935195
"L2Norm.69",0.332821672149286
"L2Norm.70",0.386539085437858
"L2Norm.71",0.349032269589149
"L2Norm.72",0.43991700105953
"L2Norm.73",0.320835207755732
"L2Norm.74",0.464820591046475
"L2Norm.75",0.344354424292359
"L2Norm.76",0.625315617920788
"L2Norm.77",0.348550590156159
"L2Norm.78",0.586310951505289
"L2Norm.79",0.434764411433966
"L2Norm.80",0.304474189275796
"L2Norm.81",0.375415271360851
"L2Norm.82",0.361762553137095
"L2Norm.83",0.38657494845768
"L2Norm.84",0.666965186538701
"L2Norm.85",0.751025682188005
"L2Norm.86",0.612364291588725
"L2Norm.87",0.484300160027108
"L2Norm.88",0.486380023988497
"L2Norm.89",0.332638094438748
