"","MeanDecreaseGini"
"L2Norm.1",6.00675711890492
"L2Norm.2",0.750434890737009
"L2Norm.3",0.499685199692765
"L2Norm.4",0.424132787640007
"L2Norm.5",1.01488920887327
"L2Norm.6",0.487237889708486
"L2Norm.7",0.757479327188471
"L2Norm.8",0.834078792028524
"L2Norm.9",0.92647401599537
"L2Norm.10",0.70451363367597
"L2Norm.11",0.580085391367071
"L2Norm.12",0.833102656121354
"L2Norm.13",0.331780751080632
"L2Norm.14",0.28880513952384
"L2Norm.15",0.600379162511001
"L2Norm.16",0.521211033911166
"L2Norm.17",0.978774211075327
"L2Norm.18",0.76505062406874
"L2Norm.19",0.783520645644427
"L2Norm.20",1.28048413181513
"L2Norm.21",0.810728907160995
"L2Norm.22",0.839280666083257
"L2Norm.23",0.51647987775164
"L2Norm.24",0.950421548461706
"L2Norm.25",1.12548027199987
"L2Norm.26",1.95716852544302
"L2Norm.27",0.579719686718616
"L2Norm.28",0.640373200010021
"L2Norm.29",1.99873330940383
"L2Norm.30",1.00280038169722
"L2Norm.31",0.909849389866291
"L2Norm.32",0.688441335221861
"L2Norm.33",0.914423357232769
"L2Norm.34",0.890594518092901
"L2Norm.35",0.659326620170346
"L2Norm.36",1.32965714490648
"L2Norm.37",0.827094993260832
"L2Norm.38",0.827611511314332
"L2Norm.39",1.31520051970966
"L2Norm.40",1.03901903192058
"L2Norm.41",1.04659785297375
"L2Norm.42",1.0909615263831
"L2Norm.43",0.812659701728113
"L2Norm.44",0.753797673167603
"L2Norm.45",1.47832092816418
"L2Norm.46",0.680466833462646
"L2Norm.47",0.721021776749081
"L2Norm.48",0.624196885994156
"L2Norm.49",1.22262349346053
"L2Norm.50",0.551923913772782
"L2Norm.51",0.781137108385281
"L2Norm.52",0.864060460267393
"L2Norm.53",0.289789465369591
"L2Norm.54",0.588197914930894
"L2Norm.55",0.475189909939617
"L2Norm.56",0.47791103453977
"L2Norm.57",0.482355553551462
"L2Norm.58",0.440844131129007
"L2Norm.59",0.490852106476189
"L2Norm.60",1.37806849028508
"L2Norm.61",0.586036931745324
"L2Norm.62",0.475177009423323
"L2Norm.63",0.463512369138963
"L2Norm.64",1.12674809013329
"L2Norm.65",0.721615948896078
"L2Norm.66",0.349352647120329
"L2Norm.67",0.887210956004199
"L2Norm.68",0.480122004784488
"L2Norm.69",0.793397580203164
"L2Norm.70",0.592072754379165
"L2Norm.71",0.321979276332427
"L2Norm.72",0.316728879611638
"L2Norm.73",0.475557073699561
"L2Norm.74",0.430056689543198
"L2Norm.75",0.320022340785858
"L2Norm.76",0.466036944423847
"L2Norm.77",0.140429876502262
"L2Norm.78",0.42373272748358
"L2Norm.79",0.743504952154617
"L2Norm.80",0.387549794330311
"L2Norm.81",0.534351155798926
"L2Norm.82",0.327206058657401
"L2Norm.83",0.894205116743923
"L2Norm.84",0.429363145396804
"L2Norm.85",0.451902941084598
"L2Norm.86",0.352447877069092
"L2Norm.87",0.647766879424604
"L2Norm.88",0.597707880506882
"L2Norm.89",0.456947306722809
"L2Norm.90",0.488122102743792
"L2Norm.91",0.529980079887394
"L2Norm.92",0.351200137728031
"L2Norm.93",0.555614184919643
"L2Norm.94",0.69618861657117
"L2Norm.95",0.961839357059814
"L2Norm.96",0.534186963885694
"L2Norm.97",1.16188801095748
"L2Norm.98",0.64112781926132
"L2Norm.99",0.703716980453135
"L2Norm.100",0.606022913131813
"L2Norm.101",0.594296888420501
"L2Norm.102",0.648618924769553
"L2Norm.103",0.612149231594221
"L2Norm.104",0.754971748203308
"L2Norm.105",0.611742371316945
"L2Norm.106",0.483323074929976
"L2Norm.107",0.516639697241197
"L2Norm.108",0.564523177547567
"L2Norm.109",0.501746204006139
"L2Norm.110",0.944854900396848
"L2Norm.111",0.482802228221152
