"","MeanDecreaseGini"
"inact.1",0
"inadur.1",0.0817239611968391
"inadist.1",0.290420487347732
"smlct.1",0.399314040142915
"smldur.1",0.131531928377681
"smldist.1",0.0315086348020567
"larct.1",0.00386862026862028
"lardur.1",0.340363724654241
"lardist.1",0.0482494434558079
"inact.2",0
"inadur.2",0.0229388744588744
"inadist.2",0
"smlct.2",0.00338011695906433
"smldur.2",0.00595294117647057
"smldist.2",0.0274819047619047
"larct.2",0.024064720813408
"lardur.2",0.422816384542491
"lardist.2",0.00888888888888889
"inact.3",0
"inadur.3",0
"inadist.3",0.0252891671852524
"smlct.3",0
"smldur.3",0.0132
"smldist.3",0.0131893939393939
"larct.3",0
"lardur.3",0.309515214316109
"lardist.3",0
"inact.4",0
"inadur.4",0
"inadist.4",0.010689696969697
"smlct.4",0.00266666666666667
"smldur.4",0.000735483870967741
"smldist.4",0.00696151924037982
"larct.4",0.0315015759088782
"lardur.4",0.173053728990885
"lardist.4",0.0184844720496895
"inact.5",0.00266666666666667
"inadur.5",0.0148888888888889
"inadist.5",0.00385938375350139
"smlct.5",0.00393333333333334
"smldur.5",0
"smldist.5",0.0107428571428571
"larct.5",0.1016339162115
"lardur.5",0.435939537385409
"lardist.5",0
"inact.6",0.0307953888398797
"inadur.6",0.0123812480202724
"inadist.6",0
"smlct.6",0.00266666666666667
"smldur.6",0.0116210526315789
"smldist.6",0.0438297470312463
"larct.6",0.0422544542466701
"lardur.6",0.130470257003312
"lardist.6",0.122906458432287
"inact.7",0
"inadur.7",0
"inadist.7",0.0064
"smlct.7",0.0524695492776487
"smldur.7",0.0113091469393472
"smldist.7",0
"larct.7",0.0470294115416919
"lardur.7",0.445981717275002
"lardist.7",0.145619142698114
"inact.8",0.0039607843137255
"inadur.8",0.170974878431125
"inadist.8",0.0156318527410964
"smlct.8",0.00380952380952381
"smldur.8",0
"smldist.8",0.0112941176470588
"larct.8",0.0505962325113885
"lardur.8",0.624901071905055
"lardist.8",0
"inact.9",0.0111428571428571
"inadur.9",0.0294700229831387
"inadist.9",0.0101329030592487
"smlct.9",0.0548664072948941
"smldur.9",0.0146933632804579
"smldist.9",0
"larct.9",0.00390909090909091
"lardur.9",0.450590841930229
"lardist.9",0.0903578947368421
"inact.10",0.0174545454545454
"inadur.10",0.0613894736842105
"inadist.10",0
"smlct.10",0.0425412468743046
"smldur.10",0.00513879405812045
