"","MeanDecreaseGini"
"inadist.1",0.241643760131912
"smldist.1",0.113347306699761
"lardist.1",0.707635115426416
"inadist.2",0.164001901137476
"smldist.2",1.04530800968729
"lardist.2",1.3169017594137
"inadist.3",0.260223121594653
"smldist.3",0.515251886980394
"lardist.3",1.10581687849349
"inadist.4",0.182474196025946
"smldist.4",0.32825831022892
"lardist.4",0.286347807689443
"inadist.5",0.134227572289283
"smldist.5",0.384837329961431
"lardist.5",0.221350795338282
"inadist.6",0.228810885989267
"smldist.6",0.221074513927212
"lardist.6",0.2857775676049
"inadist.7",0.17049365505221
"smldist.7",0.244940109102076
"lardist.7",0.994656377174864
"inadist.8",0.266180538451734
"smldist.8",0.243801081458799
"lardist.8",0.291887694783511
"inadist.9",0.0372286616965989
"smldist.9",0.0768063874015854
"lardist.9",0.263144030983631
"inadist.10",0.126562509372252
"smldist.10",0.16182054689469
"lardist.10",0.28132003844504
"inadist.11",0.190971384455181
"smldist.11",0.141606888333802
"lardist.11",0.409982173770132
"inadist.12",0.152181796830594
"smldist.12",0.0379011873328807
"lardist.12",0.542326108143512
"inadist.13",0.175200603314982
"smldist.13",0.0990489055469305
"lardist.13",0.196494100511459
"inadist.14",0.155454534972753
"smldist.14",0.0481097072142944
"lardist.14",0.0762115598398409
"inadist.15",0.0663154741816318
"smldist.15",0.0881580253360353
"lardist.15",0.165769953669161
"inadist.16",0.203100246065866
"smldist.16",0.0911214849268726
"lardist.16",0.110833997541201
"inadist.17",0.216122746416369
"smldist.17",0.0501089466089466
"lardist.17",0.261364202985282
"inadist.18",0.162375873156392
"smldist.18",0.133774781733229
"lardist.18",0.164627509144777
"inadist.19",0.172734436233701
"smldist.19",0.0748014578715927
"lardist.19",0.251848212714059
"inadist.20",0.18099205101042
"smldist.20",0.088900345025982
"lardist.20",0.22721750455586
"inadist.21",0.264434120301837
"smldist.21",0.0666884089723625
"lardist.21",0.504390255442073
"inadist.22",0.223066404889991
"smldist.22",0.236735077428719
"lardist.22",0.068891021697512
"inadist.23",0.211852710721603
"smldist.23",0.0246121212121212
"lardist.23",0.230180966129237
"inadist.24",0.153773189283153
"smldist.24",0.0983651627630226
"lardist.24",0.132798383862726
"inadist.25",0.157267091488587
"smldist.25",0.11547895219634
"lardist.25",0.480664293331333
"inadist.26",0.120380947760069
"smldist.26",0.071067969035024
"lardist.26",0.27628965423065
"inadist.27",0.137976357216856
"smldist.27",0.074003915149965
"lardist.27",0.246848686591836
"inadist.28",0.232599129450397
"smldist.28",0.0821973586407586
"lardist.28",0.350045941721579
"inadist.29",0.130367680850253
"smldist.29",0.116099618941491
"lardist.29",0.33854430001015
"inadist.30",0.185542206870878
"smldist.30",0.0433908961399748
"lardist.30",0.188755794488852
"inadist.31",0.189495006652649
"smldist.31",0.12018546372909
"lardist.31",0.10551089229416
"inadist.32",0.140042445076973
"smldist.32",0.0867273972748084
"lardist.32",0.386063203322913
"inadist.33",0.189972548357228
"smldist.33",0.205272467890923
"lardist.33",0.223402106594836
"inadist.34",0.435918076191164
"smldist.34",0.114775085844784
"lardist.34",0.403146984553753
"inadist.35",0.195721731351294
"smldist.35",0.217897169111942
"lardist.35",0.254639648155289
"inadist.36",0.13714614964469
"smldist.36",0.04541260795148
"lardist.36",0.308394067723008
"inadist.37",0.232619162748376
"smldist.37",0.0992145875040795
"lardist.37",0.217590424862456
"inadist.38",0.171773315991146
"smldist.38",0.129677359183241
"lardist.38",0.263817926764518
"inadist.39",0.13959855179671
"smldist.39",0.0797827230260412
"lardist.39",0.189820814314949
"inadist.40",0.103876292448074
"smldist.40",0.0995947441620927
"lardist.40",0.675696548549122
"inadist.41",0.0878698597716665
"smldist.41",0.148217132170021
"lardist.41",0.442155799541277
"inadist.42",0.162380948362965
"smldist.42",0.0622757451045143
"lardist.42",0.566320197479372
"inadist.43",0.103225740366073
"smldist.43",0.0867442309147936
"lardist.43",0.0337042388167388
"inadist.44",0.131577711966311
"smldist.44",0.0510207383008682
"lardist.44",0.189338240317924
"inadist.45",0.144374324284024
"smldist.45",0.0278111921380887
"lardist.45",0.0735741350916789
"inadist.46",0.109975676541494
"smldist.46",0.105966127783029
"lardist.46",0.337379395627285
"inadist.47",0.215305880726737
"smldist.47",0.102698806668184
"lardist.47",0.6089098073893
"inadist.48",0.174935635342425
"smldist.48",0.195612654761452
"lardist.48",0.6116935864814
"inadist.49",0.143401677990865
"smldist.49",0.156113920902003
"lardist.49",0.246005610505512
"inadist.50",0.0837106785779521
"smldist.50",0.1715065976062
"lardist.50",0.228738740436361
"inadist.51",0.127226646867156
"smldist.51",0.32095174376256
"lardist.51",0.12956009625437
"inadist.52",0.0529100400087242
"smldist.52",0.417751152021316
"lardist.52",0.138751946880793
"inadist.53",0.128235094909428
