"","MeanDecreaseGini"
"inadist.1",1.08049411353317
"smldist.1",2.62125635314754
"lardist.1",0.745497197287258
"inadist.2",0.0946465543399427
"smldist.2",0.0882446793467278
"lardist.2",0.251886003867682
"inadist.3",0.0874346446792634
"smldist.3",0.126168018370419
"lardist.3",0.236721384235626
"inadist.4",0.119535948049166
"smldist.4",0.189789714655516
"lardist.4",0.686018261812076
"inadist.5",0.165192314396074
"smldist.5",0.125308863979088
"lardist.5",0.226321920520657
"inadist.6",0.131295401101492
"smldist.6",0.0949469557497052
"lardist.6",0.218190823655776
"inadist.7",0.100061514978538
"smldist.7",0.128887099235897
"lardist.7",0.185532703752982
"inadist.8",0.164573009912024
"smldist.8",0.308224427762314
"lardist.8",0.205411118103009
"inadist.9",0.185036399956295
"smldist.9",0.503280671504429
"lardist.9",0.208981903961928
"inadist.10",0.233488489300359
"smldist.10",0.305424034842748
"lardist.10",0.19849373541787
"inadist.11",0.140868722917817
"smldist.11",0.195347117184383
"lardist.11",0.257518311181816
"inadist.12",0.0966504534734672
"smldist.12",0.111833502130681
"lardist.12",0.55166798960575
"inadist.13",0.231754511864139
"smldist.13",0.0825306248803161
"lardist.13",0.108316839693306
"inadist.14",0.0973425107008278
"smldist.14",0.136286413945011
"lardist.14",0.216314055309194
"inadist.15",0.104711141108152
"smldist.15",0.0958563873062902
"lardist.15",0.227011402358755
"inadist.16",0.21221982146847
"smldist.16",0.0934919821222351
"lardist.16",0.2075648599128
"inadist.17",0.11037610468802
"smldist.17",0.109865600706542
"lardist.17",0.167078958924918
"inadist.18",0.176670251956392
"smldist.18",0.089961012862787
"lardist.18",0.143093433514116
"inadist.19",0.132985175985473
"smldist.19",0.0579738932189157
"lardist.19",0.10700096570883
"inadist.20",0.107249130465986
"smldist.20",0.131046317179363
"lardist.20",0.216058530303795
"inadist.21",0.152071602048816
"smldist.21",0.174849415936994
"lardist.21",0.0815081742389483
"inadist.22",0.198747669252337
"smldist.22",0.0555546693930765
"lardist.22",0.189177322383026
"inadist.23",0.0836234408203668
"smldist.23",0.121065190144987
"lardist.23",0.280798239528428
"inadist.24",0.141427137796531
"smldist.24",0.0611450179656747
"lardist.24",0.0914867616689081
"inadist.25",0.131768660047172
"smldist.25",0.105689844036865
"lardist.25",0.352532696483467
"inadist.26",0.259356292265769
"smldist.26",0.034017890263227
"lardist.26",0.106796729069844
"inadist.27",0.180603717692181
"smldist.27",0.660692368027638
"lardist.27",0.210202809245135
"inadist.28",0.0942878229775591
"smldist.28",0.109685130560782
"lardist.28",0.106302715146661
"inadist.29",0.229957380759553
"smldist.29",0.0599892121580127
"lardist.29",0.0668161451618371
"inadist.30",0.0807113629478078
"smldist.30",0.403035305380099
"lardist.30",0.201459326532712
"inadist.31",0.0770421786966303
"smldist.31",0.168254992872488
"lardist.31",0.221877154845601
"inadist.32",0.15640501993792
"smldist.32",0.111318575155838
"lardist.32",0.202944404901614
"inadist.33",0.204742561348496
"smldist.33",0.111554549687535
"lardist.33",0.144949838365331
"inadist.34",0.0872579260413789
"smldist.34",0.0995997300498498
"lardist.34",0.194322708110684
"inadist.35",0.106822313019605
"smldist.35",0.124464105164856
"lardist.35",0.161142635187803
"inadist.36",0.152513838401655
"smldist.36",0.0534060290980773
"lardist.36",0.177625368036552
"inadist.37",0.190568142178729
"smldist.37",0.125796064559983
"lardist.37",0.21762122415669
"inadist.38",0.162871717995386
"smldist.38",0.0681041445779551
"lardist.38",0.0721019719499516
"inadist.39",0.117937827473241
"smldist.39",0.116177821138958
"lardist.39",0.178058751882316
"inadist.40",0.11153665588319
"smldist.40",0.0573421385411341
"lardist.40",0.420191697712342
"inadist.41",0.271048225784199
"smldist.41",0.0443193429091065
"lardist.41",0.129727323462236
"inadist.42",0.0913398010717747
"smldist.42",0.0459494923379869
"lardist.42",0.251368924389597
"inadist.43",0.164483449586146
"smldist.43",0.0755343549173719
"lardist.43",0.126780491412845
"inadist.44",0.148601032984417
"smldist.44",0.079875431751605
"lardist.44",0.106770079455086
"inadist.45",0.0537877719699015
"smldist.45",0.0703693112542206
"lardist.45",0.130288009691372
"inadist.46",0.0540508830537891
"smldist.46",0.0669324975264989
"lardist.46",0.230866617609972
"inadist.47",0.083213464232071
"smldist.47",0.156130225446801
"lardist.47",0.271959111420311
"inadist.48",0.189171970606558
"smldist.48",0.0425674834000623
"lardist.48",0.299913189753968
"inadist.49",0.0730418302933367
"smldist.49",0.0611030296567959
"lardist.49",0.103713245072161
"inadist.50",0.0841253981675722
"smldist.50",0.0796648817653178
"lardist.50",0.140962207389161
"inadist.51",0.135338605942313
"smldist.51",0.05337073266253
"lardist.51",0.0717784122723923
"inadist.52",0.118710333748548
"smldist.52",0.107345349191466
"lardist.52",0.246449777325804
"inadist.53",0.0824376013315558
"smldist.53",0.120572966790276
"lardist.53",0.0963963650272587
"inadist.54",0.0865546528000751
"smldist.54",0.217905673573927
"lardist.54",0.387875831386362
"inadist.55",0.162810395367513
"smldist.55",0.162035601392186
"lardist.55",0.165774427802664
"inadist.56",0.0609529113417823
"smldist.56",0.356803095017137
"lardist.56",0.0612166737317996
"inadist.57",0.0927992714952452
"smldist.57",0.297328331688245
"lardist.57",0.202610528424444
"inadist.58",0.0890246702185428
"smldist.58",0.0744824397853702
"lardist.58",0.262461212639038
"inadist.59",0.0490498551498369
"smldist.59",0.0691547266989143
"lardist.59",0.468521643024297
"inadist.60",0.129118276526108
"smldist.60",0.198902296934
"lardist.60",0.173566182870959
"inadist.61",0.112654990537747
"smldist.61",0.144408439600964
"lardist.61",0.272774868249895
"inadist.62",0.119845451227124
"smldist.62",0.187867547976639
"lardist.62",0.398554753727218
"inadist.63",0.3526075138629
"smldist.63",0.119622718003591
"lardist.63",0.0826863103097265
"inadist.64",0.0814548617517731
"smldist.64",0.238285722884804
"lardist.64",0.0619610441829574
"inadist.65",0.111769115655282
"smldist.65",0.0328264959134245
"lardist.65",0.0828171230565027
"inadist.66",0.101329409528943
"smldist.66",0.111750825716977
"lardist.66",0.155769247621017
"inadist.67",0.0826730238949836
"smldist.67",0.302929958661847
"lardist.67",0.317222712592656
"inadist.68",0.121838658086566
"smldist.68",0.232970027550341
"lardist.68",0.248293245668621
"inadist.69",0.141552755249892
"smldist.69",0.0846505773230933
"lardist.69",0.303307696455228
"inadist.70",0.188130257544965
"smldist.70",0.0694432074314701
"lardist.70",0.163502788135771
"inadist.71",0.143851736585114
"smldist.71",0.0643317724628417
"lardist.71",0.162182482561374
"inadist.72",0.0709250408635371
"smldist.72",0.0295261139751916
"lardist.72",0.213745525186432
"inadist.73",0.159008583752167
"smldist.73",0.183357332486528
"lardist.73",0.521947100733459
"inadist.74",0.199099450361666
"smldist.74",0.2345803359101
"lardist.74",0.47859536908989
"inadist.75",0.13965595340573
"smldist.75",0.171779386932904
"lardist.75",0.127166862387743
"inadist.76",0.204425965931101
"smldist.76",0.0561828919696069
"lardist.76",0.358084815231238
"inadist.77",0.243154728822302
"smldist.77",0.17371571502977
"lardist.77",0.0623738282665227
"inadist.78",0.195060782301122
"smldist.78",0.213472854538281
"lardist.78",0.0651779342004779
"inadist.79",0.120794538012169
"smldist.79",0.102097799594395
"lardist.79",0.400125638469625
"inadist.80",0.108824816623899
"smldist.80",0.0342419913419914
"lardist.80",0.19559611161724
"inadist.81",0.0879717743107275
"smldist.81",0.0739117170704831
"lardist.81",0.216474940494509
"inadist.82",0.162869448717268
"smldist.82",0.208109284501442
"lardist.82",0.342325983732048
"inadist.83",0.114161681664765
"smldist.83",0.127935084788045
"lardist.83",0.121249548198344
"inadist.84",0.109420670247106
"smldist.84",0.159660424106519
"lardist.84",0.128338569131958
"inadist.85",0.0860016587487858
"smldist.85",0.125583936889649
"lardist.85",0.283014485012947
"inadist.86",0.209704887379443
"smldist.86",0.1340552601416
"lardist.86",0.77862771616794
"inadist.87",0.165185598749258
"smldist.87",0.0436560950560951
"lardist.87",0.129422779416548
"inadist.88",0.0609362711736738
"smldist.88",0.105875359838621
"lardist.88",0.120813383009944
"inadist.89",0.0604768805852095
"smldist.89",0.0806218981063872
"lardist.89",0.162521829473348
"inadist.90",0.0688070086994272
"smldist.90",0.0698733184963167
"lardist.90",0.163906084004186
"inadist.91",0.205573290685778
"smldist.91",0.0476794056503632
"lardist.91",0.241252834332174
"inadist.92",0.0472054787095138
"smldist.92",0.105979051458231
"lardist.92",0.406997307389777
"inadist.93",0.141037181747952
"smldist.93",0.160165104895191
"lardist.93",0.0602180657999884
"inadist.94",0.0763033959028357
"smldist.94",0.457355117087687
"lardist.94",0.268330173945966
"inadist.95",0.0396529931948161
"smldist.95",0.241178419679385
"lardist.95",0.370945390253688
"inadist.96",0.175972048611077
"smldist.96",0.107262132088433
"lardist.96",0.482615690520284
"inadist.97",0.202591021799356
"smldist.97",0.259163427084787
"lardist.97",0.38457575665008
"inadist.98",0.1383134402906
"smldist.98",0.0473270488095716
"lardist.98",0.128343191729598
"inadist.99",0.140244696253074
"smldist.99",0.0368584789291705
"lardist.99",0.0653193117030959
"inadist.100",0.166399756764045
"smldist.100",0.256632033976538
"lardist.100",0.134308921650218
"inadist.101",0.0551571892127358
"smldist.101",0.169992804482396
"lardist.101",0.238368931502826
"inadist.102",0.0785810945938612
"smldist.102",0.202326932684133
"lardist.102",0.299112823640425
"inadist.103",0.142910818908714
"smldist.103",0.22891100215956
"lardist.103",0.810970464508089
"inadist.104",0.0492335633748592
"smldist.104",0.240654422810229
"lardist.104",0.351230346249655
"inadist.105",0.049069309485205
"smldist.105",0.192631434230421
"lardist.105",0.107163369887767
"inadist.106",0.0782280218038569
"smldist.106",0.273087443558816
"lardist.106",0.130092249738972
"inadist.107",0.212009343864247
"smldist.107",0.124177705586043
"lardist.107",0.221377069078233
"inadist.108",0.0880168261040027
"smldist.108",0.0744904965255908
"lardist.108",0.10756070812417
"inadist.109",0.0833000480610113
"smldist.109",0.0702887305442257
"lardist.109",0.140145304948341
"inadist.110",0.164100303059053
"smldist.110",0.161960001423744
"lardist.110",0.350830768176561
"inadist.111",0.0884221109741258
"smldist.111",0.133210070562892
"lardist.111",0.303222024682371
"inadist.112",0.0959660493530865
"smldist.112",0.0519158943138256
"lardist.112",0.33073880758478
"inadist.113",0.088521298377244
"smldist.113",0.147678968690549
"lardist.113",0.236073081636317
"inadist.114",0.170767289323289
"smldist.114",0.0760387216426296
"lardist.114",0.410484583543794
"inadist.115",0.0788019788737886
"smldist.115",0.245306511221423
"lardist.115",0.191339094543189
"inadist.116",0.120513357881809
"smldist.116",0.0836846155882372
"lardist.116",0.129462182880159
"inadist.117",0.161406452909433
"smldist.117",0.0759538378366564
"lardist.117",0.198246216841728
"inadist.118",0.102727051097672
"smldist.118",0.187627445033406
"lardist.118",0.208493584517025
"inadist.119",0.128202583496341
"smldist.119",0.738866957092639
"lardist.119",1.20284025858638
"inadist.120",0.0952457727732421
"smldist.120",0.560748913926664
"lardist.120",0.239672110726852
"inadist.121",0.0974786838048637
"smldist.121",0.0371726830558236
"lardist.121",0.2271573025137
"inadist.122",0.16673930456387
"smldist.122",0.098764250130045
"lardist.122",0.112480701469456
"inadist.123",0.225301343838434
"smldist.123",0.0601637330117237
"lardist.123",0.106664376122914
