"","MeanDecreaseGini"
"inadur.1",1.03871322853706
"smldur.1",0.412167814492747
"lardur.1",2.79532581590318
"inadur.2",0.295022741416573
"smldur.2",0.760564605413168
"lardur.2",8.85690117659562
"inadur.3",0.710138881061879
"smldur.3",0.371455201985318
"lardur.3",5.28657355365746
"inadur.4",0.336221607982198
"smldur.4",0.190917319448404
"lardur.4",0.135500828713495
"inadur.5",0.567310947810935
"smldur.5",0.152982260678545
"lardur.5",0.194600189939155
"inadur.6",0.646497539179086
"smldur.6",0.435209612182286
"lardur.6",0.0669472024959043
"inadur.7",0.615080320496986
"smldur.7",0.163643786378116
"lardur.7",1.55597108694147
"inadur.8",0.198912423828291
"smldur.8",0.212759642321733
"lardur.8",1.39544323714067
"inadur.9",0.115564695903438
"smldur.9",0.108292372491726
"lardur.9",0.026122712352257
"inadur.10",0.139552817564829
"smldur.10",0.0345031571950814
"lardur.10",0.32780238844176
"inadur.11",0.353842042016053
"smldur.11",0.209900826536593
"lardur.11",0.595305156907656
"inadur.12",0.143798351224857
"smldur.12",0.100026653045787
"lardur.12",0.871161853778249
"inadur.13",0.166948607874755
"smldur.13",0.0284477716753044
"lardur.13",0.149518527479866
"inadur.14",0.28455017474331
"smldur.14",0.0510289767733021
"lardur.14",0.179660382008282
"inadur.15",0.283057186382635
"smldur.15",0.116852372805704
"lardur.15",0.0706172278956794
"inadur.16",0.0130559018906489
"smldur.16",0.161114878784121
"lardur.16",0.616368631054628
"inadur.17",0.056529843797323
"smldur.17",0.287897373147641
"lardur.17",0.066103759914477
"inadur.18",0.05082185655992
"smldur.18",0.514306754725562
"lardur.18",0.131771553609497
"inadur.19",0.164901597088547
"smldur.19",0.0425187012987013
"lardur.19",0.206703743336032
"inadur.20",0.140695845149328
"smldur.20",0.228288404961787
"lardur.20",0.0991544254207872
"inadur.21",0.0825898538947462
"smldur.21",0.350203115091348
"lardur.21",0.461598117669647
"inadur.22",0.095703836160447
"smldur.22",0.0512963007283225
"lardur.22",0.175401595935869
"inadur.23",0.1212755209662
"smldur.23",0.348509209320823
"lardur.23",0.058505573084781
"inadur.24",0.375129979319762
"smldur.24",0.112272703643932
"lardur.24",0.175518058370704
"inadur.25",0.0730777548989909
"smldur.25",0.074243869594774
"lardur.25",0.188457017762203
"inadur.26",0.123814930182075
"smldur.26",0.0923231259115758
"lardur.26",0.277492155228113
"inadur.27",0.166084735047302
"smldur.27",0.142680335956402
"lardur.27",0.0341903035276099
"inadur.28",0.311239414232063
"smldur.28",0.14108156925892
"lardur.28",1.07085380386176
"inadur.29",0.157356911524544
"smldur.29",0.0173569177079815
"lardur.29",0.57914145068007
"inadur.30",0.316891321645798
"smldur.30",0.357239939556985
"lardur.30",0.0921052707813479
"inadur.31",0.344322870411564
"smldur.31",0.173149332901314
"lardur.31",0.012592367837554
"inadur.32",0.081274169956158
"smldur.32",0.0782547354823031
"lardur.32",0.117290824188058
"inadur.33",0.15329671895449
"smldur.33",0.131935203477646
"lardur.33",0.0804511927473933
"inadur.34",0.248922544555675
"smldur.34",0.423753005633745
"lardur.34",0.57961843413778
"inadur.35",0.321012859582631
"smldur.35",0.0970718339249884
"lardur.35",0.196918680451116
"inadur.36",0.126719764799059
"smldur.36",0.141209750124147
"lardur.36",0.490240859676223
"inadur.37",0.0842488634343209
"smldur.37",0.0765996527328774
"lardur.37",0.0431154556315847
"inadur.38",0.0822272646227732
"smldur.38",0.0473804663552927
"lardur.38",0.313781652601283
"inadur.39",0.173740541080702
"smldur.39",0.11529865081318
"lardur.39",0.376483859219855
"inadur.40",0.15367232576544
"smldur.40",0.199389967360353
"lardur.40",0.643017999361546
"inadur.41",0.114301946788705
"smldur.41",0.0814017593289468
"lardur.41",0.0377557570184842
"inadur.42",0.0321878621077181
"smldur.42",0.0419441790093964
"lardur.42",0.295926560829763
"inadur.43",0.153594921524026
"smldur.43",0.235043150502691
"lardur.43",0.0213525682088494
"inadur.44",0.01141
"smldur.44",0.0417442309285393
"lardur.44",0.095750808336434
"inadur.45",0.130572782391026
"smldur.45",0.095901392722753
"lardur.45",0.0323322347914944
"inadur.46",0.328391644454209
"smldur.46",0.0546828070419918
"lardur.46",0.596385460117957
"inadur.47",0.0363103567838993
"smldur.47",0.150619843198692
"lardur.47",0.303734525550088
"inadur.48",0.140527883427993
"smldur.48",0.151268160376811
"lardur.48",2.18519717195826
"inadur.49",0.0808987223659114
