"","MeanDecreaseGini"
"inadur.1",0.308323721701028
"smldur.1",0.0436004903563256
"lardur.1",0.0753879697033743
"inadur.2",0.0660876299361321
"smldur.2",0.0338800453932033
"lardur.2",0.536103487138386
"inadur.3",0.0840395381100028
"smldur.3",0.0343085371919219
"lardur.3",0.44723781122301
"inadur.4",0.130446438369462
"smldur.4",0.0105397962767826
"lardur.4",0.502030749418822
"inadur.5",0.0680496138996139
"smldur.5",0.0918754875433505
"lardur.5",0.409507962953375
"inadur.6",0.0625109082193097
"smldur.6",0.0607722886190309
"lardur.6",0.154575362551147
"inadur.7",0.116764669842292
"smldur.7",0.023197680890538
"lardur.7",0.359361181747721
"inadur.8",0.118160815201638
"smldur.8",0.0328378677163863
"lardur.8",0.192803596541088
"inadur.9",0.0400749892913897
"smldur.9",0.107337399724796
"lardur.9",0.606486113661577
"inadur.10",0.29975564584349
"smldur.10",0.0667004244482173
"lardur.10",0.299063759110538
"inadur.11",0.0628310268251445
"smldur.11",0.0397586535722122
"lardur.11",0.552782315953411
"inadur.12",0.117725371760893
"smldur.12",0.061390431637401
"lardur.12",0.320305906302058
"inadur.13",0.0520993658671078
"smldur.13",0.0664244722355888
"lardur.13",0.35304997841641
"inadur.14",0.146448497129642
"smldur.14",0.110818689848668
"lardur.14",0.335541240341621
"inadur.15",0.108341395462006
"smldur.15",0.0602944165467569
"lardur.15",0.568554791732829
"inadur.16",0.084784896069426
"smldur.16",0.0367992676433075
"lardur.16",0.674411445743309
"inadur.17",0.114673182765643
"smldur.17",0.0753453342076344
"lardur.17",0.518330599887822
"inadur.18",0.0386238298875148
"smldur.18",0.0570755725839416
"lardur.18",0.536948868581702
"inadur.19",0.0837159285159285
"smldur.19",0.0304569118286584
"lardur.19",0.655974524319865
"inadur.20",0.0392532734232693
"smldur.20",0.0383975662755323
"lardur.20",0.344304539924619
"inadur.21",0.0765949464127904
"smldur.21",0.0589866544318328
"lardur.21",0.457350876864929
"inadur.22",0.0460401909201909
"smldur.22",0.0580086608800159
"lardur.22",0.547670642494809
"inadur.23",0.0742399209504613
"smldur.23",0.0616447601971032
"lardur.23",0.150215456386602
"inadur.24",0.265210583011371
"smldur.24",0.0355632298477341
"lardur.24",0.682425137346621
"inadur.25",0.056653622215406
"smldur.25",0.101094269527422
"lardur.25",0.397082360526972
"inadur.26",0.0727825274783535
"smldur.26",0.108395790778099
"lardur.26",0.406190048291314
"inadur.27",0.0430482700934823
"smldur.27",0.132419131844323
"lardur.27",0.135176646020077
"inadur.28",0.019190298663325
"smldur.28",0.105917063494414
"lardur.28",0.333499462873452
"inadur.29",0.0857062873487166
"smldur.29",0.0248683253955463
"lardur.29",0.40912617783683
"inadur.30",0.0975068107792388
"smldur.30",0.127929675894834
"lardur.30",0.174657048829877
"inadur.31",0.101711660121441
"smldur.31",0.0231267250054135
"lardur.31",0.252484089101166
"inadur.32",0.0483333269642779
"smldur.32",0.0146732384081782
"lardur.32",0.705935272246609
"inadur.33",0.0767278022162148
"smldur.33",0.023634604822568
"lardur.33",0.523205254419401
"inadur.34",0.0820269861666909
"smldur.34",0.0473108146352625
"lardur.34",0.45364389889142
"inadur.35",0.0224181804522575
"smldur.35",0.0525641883718906
"lardur.35",0.437206765789152
"inadur.36",0.0409940646436461
"smldur.36",0.0432800214042732
"lardur.36",0.444805376093735
"inadur.37",0.0434338228110879
"smldur.37",0.218263537745647
"lardur.37",0.312388013092425
"inadur.38",0.0684067247759559
"smldur.38",0.0562406410654195
"lardur.38",0.430075393747099
"inadur.39",0.054268098215285
"smldur.39",0.0655509046094425
"lardur.39",0.489216855227167
"inadur.40",0.0904912927100588
"smldur.40",0.0593193325796692
"lardur.40",0.596283461472362
"inadur.41",0.133976433682295
"smldur.41",0.0838927373572109
"lardur.41",0.450077107049869
"inadur.42",0.0231878095208667
"smldur.42",0.227721078146707
"lardur.42",0.246010141695216
"inadur.43",0.124324976472903
"smldur.43",0.0194892332338654
"lardur.43",0.482832640695445
"inadur.44",0.0869093386758063
"smldur.44",0.0232056816059757
"lardur.44",0.191562953545256
"inadur.45",0.191767007523751
"smldur.45",0.0438115068012548
"lardur.45",0.326166405406198
"inadur.46",0.118214872954003
"smldur.46",0.083053869685924
"lardur.46",0.317017869494339
"inadur.47",0.0929653501503311
"smldur.47",0.04657092670895
"lardur.47",0.518157994109904
"inadur.48",0.0905747106512763
"smldur.48",0.088890540828254
"lardur.48",0.38110674325618
"inadur.49",0.113948837341944
"smldur.49",0.0709228579426348
"lardur.49",0.795464294587735
"inadur.50",0.0314102422330145
"smldur.50",0.0603560149335425
"lardur.50",0.32763523335147
"inadur.51",0.0283127584337301
"smldur.51",0.0727586056928821
"lardur.51",0.599278782670925
"inadur.52",0.228792373220296
"smldur.52",0.0686642724935619
"lardur.52",0.257351241570635
"inadur.53",0.138563163028243
"smldur.53",0.0593598377336098
"lardur.53",1.06818338354957
"inadur.54",0.364724652107578
"smldur.54",0.0482688490028241
"lardur.54",0.377212554404878
"inadur.55",0.0981521679826764
"smldur.55",0.111731329602566
"lardur.55",0.458359496959606
"inadur.56",0.0497467808412633
"smldur.56",0.103897436954382
"lardur.56",0.528364903949819
"inadur.57",0.0678648740844618
"smldur.57",0.0783286461812873
"lardur.57",0.500922731691927
"inadur.58",0.110799111746007
"smldur.58",0.0977883868548838
"lardur.58",0.548147639297298
"inadur.59",0.183474560392361
"smldur.59",0.094424933337348
"lardur.59",0.418320347203213
"inadur.60",0.098372609301399
"smldur.60",0.0558671504434963
"lardur.60",0.388658228693171
"inadur.61",0.151135350409935
"smldur.61",0.0483392935817832
"lardur.61",0.690631667179204
"inadur.62",0.00987047818082299
"smldur.62",0.169329815827296
"lardur.62",0.232796022963583
"inadur.63",0.261259420432523
"smldur.63",0.0809815401442659
"lardur.63",0.485257175631578
"inadur.64",0.102481998692829
"smldur.64",0.029120987654321
"lardur.64",0.227365410699504
"inadur.65",0.364074081954081
"smldur.65",0.0698053423369418
"lardur.65",0.473519920710736
"inadur.66",0.0773744845846599
"smldur.66",0.0343785714285714
"lardur.66",0.59152302207779
"inadur.67",0.126118242698537
"smldur.67",0.125867851218489
"lardur.67",0.328461918048228
"inadur.68",0.139778912745406
"smldur.68",0.0915377064624561
"lardur.68",0.397707842064556
"inadur.69",0.0339494110956469
"smldur.69",0.0487639961584469
"lardur.69",0.343649298303255
"inadur.70",0.117949709025875
"smldur.70",0.0378845099935526
"lardur.70",0.422346365935753
"inadur.71",0.0931473231168486
"smldur.71",0.0329467389214224
"lardur.71",0.379486689558385
"inadur.72",0.238415785970123
"smldur.72",0.0919459358261627
"lardur.72",0.235204792046962
"inadur.73",0.367090833268748
"smldur.73",0.0532523137628726
"lardur.73",0.361470333960156
"inadur.74",0.0963914931001136
"smldur.74",0.174891448314815
"lardur.74",0.249527285102291
"inadur.75",0.0436485829162352
"smldur.75",0.097564046955035
"lardur.75",0.329445047832844
"inadur.76",0.0219885460495559
"smldur.76",0.0584658911176917
"lardur.76",0.213643007368851
"inadur.77",0.247336769784176
"smldur.77",0.0516353495442302
"lardur.77",0.211354823277851
"inadur.78",0.25263379123966
"smldur.78",0.0890860112442155
"lardur.78",0.261799110927548
"inadur.79",0.0426425603204735
"smldur.79",0.0725362380387992
"lardur.79",0.155958575078072
"inadur.80",0.439220933892541
"smldur.80",0.0550180980042836
"lardur.80",0.640655100234405
"inadur.81",0.116096304663288
"smldur.81",0.0420978221933083
"lardur.81",0.811340609768267
"inadur.82",0.108201489842892
"smldur.82",0.0568852185698796
"lardur.82",0.168935217178993
"inadur.83",0.124405139055145
"smldur.83",0.143304406534466
"lardur.83",0.496259307833245
"inadur.84",0.256580241552507
"smldur.84",0.0616865011639225
"lardur.84",0.320432901202052
"inadur.85",0.0533466968325792
"smldur.85",0.0590516151821777
"lardur.85",0.357105026774978
"inadur.86",0.0512482748283234
"smldur.86",0.163162030075583
"lardur.86",0.495735946949234
"inadur.87",0.129820627103484
"smldur.87",0.0599562351798997
"lardur.87",0.198697422171298
"inadur.88",0.100879167118975
"smldur.88",0.0564718446799289
"lardur.88",0.462175595237519
"inadur.89",0.0933693534464395
"smldur.89",0.0357832606243862
"lardur.89",0.609893361233041
"inadur.90",0.104255822778681
"smldur.90",0.0718062868184879
"lardur.90",0.368654841373921
"inadur.91",0.218542211962515
"smldur.91",0.116106392292023
"lardur.91",0.513839518649417
"inadur.92",0.171724413212211
"smldur.92",0.135200063610069
"lardur.92",0.249512057803988
"inadur.93",0.0636389193607959
"smldur.93",0.0339795839616064
"lardur.93",0.218342129452641
"inadur.94",0.200266268326297
"smldur.94",0.0961578536607223
"lardur.94",0.52001373067978
"inadur.95",0.133005574172777
"smldur.95",0.0927770468765597
"lardur.95",0.549232320863019
"inadur.96",0.0918227451746249
"smldur.96",0.100576143823137
"lardur.96",0.334079535207006
"inadur.97",0.0216948306595365
"smldur.97",0.0368404485873789
"lardur.97",0.352381317171802
"inadur.98",0.131761245345011
"smldur.98",0.141558708947295
"lardur.98",0.148003480827915
"inadur.99",0.239607205106532
"smldur.99",0.0353462441462441
"lardur.99",0.272851570715997
