"","MeanDecreaseGini"
"distance.1",0.241961649220649
"distance.2",9.38212078229017
"distance.3",8.45659889491119
"distance.4",3.1927440345502
"distance.5",4.36278154972822
"distance.6",2.98464491429892
"distance.7",4.27843778763553
"distance.8",0.98775367636831
"distance.9",0.402285810843414
"distance.10",0.916243725767017
"distance.11",0.585645836548901
"distance.12",0.32636814595385
"distance.13",0.414616737913828
"distance.14",0.303121739845992
"distance.15",0.420769842206949
"distance.16",0.538826704324601
"distance.17",0.417697578173376
"distance.18",0.373387336456908
"distance.19",0.379388614725486
"distance.20",0.39810454193967
"distance.21",0.365761546852089
"distance.22",0.362433487317167
"distance.23",0.300757858740654
"distance.24",0.367618792370251
"distance.25",0.358845703286853
"distance.26",0.364120238685608
"distance.27",1.607773665851
"distance.28",0.402977850380289
"distance.29",0.679474719319349
"distance.30",0.297700144742789
"distance.31",1.01225064040335
"distance.32",0.301453240270099
"distance.33",0.728505248030568
"distance.34",1.674469208368
"distance.35",1.31720946205404
"distance.36",0.41042200491906
"distance.37",0.393748767427383
"distance.38",0.389226006138619
"distance.39",0.203373610796518
"distance.40",0.270309467675026
"distance.41",0.304418175415863
"distance.42",0.340854401786524
"distance.43",0.7021486882459
"distance.44",0.205927689771266
"distance.45",0.467304254293298
"distance.46",0.974890191176249
"distance.47",0.570968255529735
"distance.48",1.2625024875563
"distance.49",0.628448229072204
"distance.50",0.986346024293894
"distance.51",1.23218489221032
"distance.52",0.729710288042733
"distance.53",1.5090487528237
"distance.54",0.372747790942696
"distance.55",0.328573365537834
"distance.56",0.4957123073399
"distance.57",0.428295750759874
"distance.58",0.513070301767486
"distance.59",0.442852399751302
"distance.60",0.34925793789627
"distance.61",0.238502161591592
"distance.62",0.34100610446621
"distance.63",0.320158071974835
"distance.64",0.783023473353374
"distance.65",0.77062892179377
"distance.66",0.338106073833028
"distance.67",0.335924059734636
"distance.68",0.389719804720822
"distance.69",0.395128967648015
"distance.70",0.305326719355192
"distance.71",0.272510054432018
"distance.72",0.377313310182723
"distance.73",0.291544137249907
"distance.74",0.416720622549937
"distance.75",0.263167410268376
"distance.76",0.62709459342272
"distance.77",0.20738240822173
"distance.78",0.2884097333547
"distance.79",0.358340242624914
"distance.80",0.329256884261796
"distance.81",0.668636137947958
"distance.82",0.302755073521112
"distance.83",0.439141097087085
"distance.84",0.800505031946142
"distance.85",0.419160853136594
"distance.86",0.615829010839896
"distance.87",0.419761917572133
"distance.88",0.226153975868291
"distance.89",0.465276104421347
"distance.90",0.590520408692484
"distance.91",0.311614856292219
"distance.92",0.320728440415852
"distance.93",0.303850173776447
"distance.94",0.31352800552785
"distance.95",0.49366981504375
"distance.96",1.01929068157291
"distance.97",0.702272491581604
"distance.98",0.338000164706044
"distance.99",0.287062172416751
"distance.100",0.958090862007293
"distance.101",0.283731510708113
"distance.102",0.396190799721196
"distance.103",0.346141215387504
"distance.104",0.372413867153439
"distance.105",0.389900201635209
"distance.106",0.372187470026186
"distance.107",0.463676439955199
"distance.108",0.292423230399484
"distance.109",0.389618782262687
"distance.110",0.321083758433298
"distance.111",0.357451218291197
"distance.112",0.331142750577151
"distance.113",0.260356892083192
"distance.114",0.194625155036562
"distance.115",0.580852121226897
"distance.116",0.268182659146726
"distance.117",0.263153882226765
"distance.118",0.374018186893883
"distance.119",0.430381442027704
"distance.120",0.627875368865294
"distance.121",0.254852192577349
"distance.122",0.795506387206055
"distance.123",0.337155042191347
"distance.124",0.612464797574055
"distance.125",1.14960824836637
"distance.126",0.726113786239169
"distance.127",0.901484208092811
"distance.128",0.48107160106865
"distance.129",0.386525901725635
"distance.130",0.458559568806907
"distance.131",0.412417755645454
"distance.132",0.27318285738553
"distance.133",0.313855765899643
"distance.134",0.495116574657092
"distance.135",0.281840096096044
"distance.136",0.24879936628426
"distance.137",0.306713628362886
"distance.138",0.321077216380514
"distance.139",0.408080064266397
"distance.140",0.348237499823453
"distance.141",0.432398731900423
"distance.142",0.248772371694952
"distance.143",0.33846601563488
"distance.144",0.360026634914183
"distance.145",0.552145818247457
"distance.146",0.497453783191645
"distance.147",0.252915653312975
"distance.148",0.269455001720192
"distance.149",0.601787573017137
"distance.150",0.405847270969265
"distance.151",0.2382825730316
"distance.152",0.282073771198335
"distance.153",0.540667051678241
"distance.154",0.411029988303757
"distance.155",0.437154634544264
"distance.156",0.401574613961169
"distance.157",0.354073963831634
"distance.158",0.437371333941597
"distance.159",0.35162684608014
"distance.160",0.371616993312042
"distance.161",0.443294917669902
"distance.162",0.553238898497782
"distance.163",0.408155422439812
"distance.164",0.755490103480916
"distance.165",0.325652853062809
"distance.166",0.159227217704069
"distance.167",0.480689805514115
"distance.168",0.490555973420113
"distance.169",0.419136731927859
"distance.170",0.325287573383448
"distance.171",0.247610623569973
"distance.172",0.436048196386388
"distance.173",2.40528823254238
"distance.174",0.810003361542849
"distance.175",0.523837834677362
"distance.176",0.302893847120159
"distance.177",0.513938823700733
"distance.178",0.32356437792325
"distance.179",0.608087638021917
"distance.180",0.22680716361796
"distance.181",0.32280531767933
"distance.182",0.470768163025937
"distance.183",0.37268973130364
"distance.184",0.364097826576609
"distance.185",0.23856440547057
"distance.186",0.358063004283717
"distance.187",0.2790133944711
"distance.188",0.392194902067708
"distance.189",0.64601245233836
"distance.190",0.301084575531638
"distance.191",0.221136786121361
"distance.192",0.30635269132481
"distance.193",0.31983173624193
"distance.194",0.531511268134907
"distance.195",0.281220715602084
"distance.196",0.344398564288112
"distance.197",0.801847488708797
"distance.198",0.173533218663794
"distance.199",0.302367661415968
"distance.200",0.41228426689158
"distance.201",0.30537934536386
"distance.202",0.373647784014396
"distance.203",0.682591209441266
"distance.204",0.282464872655552
"distance.205",0.471935654047511
"distance.206",0.414396887775832
"distance.207",0.347328814774256
"distance.208",0.315555980347651
"distance.209",0.179124885132922
"distance.210",0.198283639351167
"distance.211",0.271058529476004
"distance.212",0.339070260278514
"distance.213",0.208305803845243
"distance.214",0.53498986016554
"distance.215",0.271856361538957
"distance.216",0.175765065729483
"distance.217",0.319541772649972
"distance.218",0.417876798917489
"distance.219",0.140619928404525
"distance.220",0.253890537594584
"distance.221",0.303734279080308
"distance.222",0.293188042854551
"distance.223",0.584854242355834
"distance.224",0.293181101659987
"distance.225",0.317847995849231
"distance.226",0.25749152736841
"distance.227",0.328220112966116
"distance.228",0.31899972462851
"distance.229",0.329781455679013
"distance.230",0.321738636732069
"distance.231",0.349668110333779
"distance.232",0.292332945427877
"distance.233",0.42970317613424
"distance.234",0.280683070121829
"distance.235",0.734795585036622
"distance.236",1.04199314166642
"distance.237",0.433633227706965
"distance.238",0.430789372714659
