"","MeanDecreaseGini"
"distance.1",38.0447478706117
"distance.2",1.96377912246543
"distance.3",2.93045913472551
"distance.4",0.699681751365693
"distance.5",1.33191271414117
"distance.6",1.55349807006776
"distance.7",1.40401799198969
"distance.8",0.530152273571943
"distance.9",0.277939872083677
"distance.10",2.90823456995888
"distance.11",0.356646003989544
"distance.12",1.11659135970406
"distance.13",0.126823154399566
"distance.14",0.224133748438183
"distance.15",0.214448077408483
"distance.16",0.189721389647267
"distance.17",0.53586892545205
"distance.18",0.52122889063816
"distance.19",0.197958850075485
"distance.20",0.161004948534385
"distance.21",1.86820573067558
"distance.22",0.492918040285039
"distance.23",0.163208479663797
"distance.24",0.486820411899517
"distance.25",0.592200809439862
"distance.26",0.881054987749607
"distance.27",0.262294831182825
"distance.28",0.145392371089928
"distance.29",0.247543403690525
"distance.30",0.248720877810846
"distance.31",0.372451297088423
"distance.32",0.235557827215267
"distance.33",0.309578998744687
"distance.34",0.183804501832001
"distance.35",0.886808070313599
"distance.36",0.545245546589324
"distance.37",0.529543334295498
"distance.38",1.99079932871149
"distance.39",0.0677984097627291
"distance.40",0.699638481514959
"distance.41",0.659577821190751
"distance.42",0.305788237541987
"distance.43",0.480331097501647
"distance.44",0.101977620843744
"distance.45",0.0901618619784064
"distance.46",0.0978578289198417
"distance.47",0.143162714173575
"distance.48",0.250088782530709
"distance.49",0.0927874355254199
"distance.50",0.182108945984599
"distance.51",0.10549276143096
"distance.52",0.445669679694985
"distance.53",0.113008984508483
"distance.54",0.330278602973204
"distance.55",0.172402460215586
"distance.56",0.156639016416437
"distance.57",1.33925963734462
"distance.58",0.232912952751115
"distance.59",0.202804569076371
"distance.60",0.357635359755538
"distance.61",0.233598940283996
"distance.62",0.551157217853268
"distance.63",0.376807316142288
"distance.64",0.317583906549555
"distance.65",0.0979333519459029
"distance.66",0.211370672243317
"distance.67",0.166254242545079
"distance.68",0.48395293549729
"distance.69",0.911712691909079
"distance.70",0.0898311824894197
"distance.71",0.281582866836544
"distance.72",0.351470591848096
"distance.73",0.528849494469136
"distance.74",0.0886150782548179
"distance.75",0.227302007097637
"distance.76",0.357838464575708
"distance.77",0.153441159286541
"distance.78",0.573560186747928
"distance.79",0.269137865739282
"distance.80",0.0996331624515835
"distance.81",0.654856020515889
"distance.82",0.0735833056585003
"distance.83",0.56289395277407
"distance.84",0.115455086391023
"distance.85",0.296541224105411
"distance.86",0.312288124016239
"distance.87",0.0924403979876818
"distance.88",0.20070060471562
"distance.89",0.137966693188176
"distance.90",0.238159980742735
"distance.91",0.245234143697564
"distance.92",0.187384618528778
"distance.93",0.12611934297451
"distance.94",0.238433683079192
"distance.95",0.124704867828308
"distance.96",0.227115089291121
"distance.97",0.192907271836881
"distance.98",0.206723452062796
"distance.99",0.238161658478438
"distance.100",0.102066177803197
"distance.101",0.103002301733365
"distance.102",0.0938242576738114
"distance.103",1.14543724151945
"distance.104",0.370109218737203
"distance.105",0.155795277135498
"distance.106",0.214054580916844
"distance.107",0.272279109660994
"distance.108",0.0587607199897137
"distance.109",0.16055543025571
"distance.110",0.782820577922689
"distance.111",0.110821927482427
"distance.112",0.0994382020821898
"distance.113",0.139075628021731
"distance.114",0.216777233706525
"distance.115",0.140130271652329
"distance.116",0.653710775298579
"distance.117",0.236464772101359
"distance.118",0.121059510027582
"distance.119",0.188879150060102
"distance.120",0.300863130933297
"distance.121",0.170549136835153
"distance.122",0.164573498218163
"distance.123",0.363656374469439
"distance.124",0.386545799341624
"distance.125",0.214904943563997
"distance.126",0.270742721239657
"distance.127",0.233117645513371
"distance.128",0.40176675397579
"distance.129",0.896408293310073
"distance.130",0.384851246119938
"distance.131",1.36381047904193
"distance.132",0.278288358079088
"distance.133",1.37098455030079
"distance.134",0.28457856879922
"distance.135",0.0927276931408903
"distance.136",0.144001509847593
"distance.137",0.375411804952968
"distance.138",0.246234598731687
"distance.139",0.270854422551327
"distance.140",0.28791733216001
"distance.141",0.229536987752421
"distance.142",0.762483724672419
"distance.143",0.47826169347823
"distance.144",1.20181285801555
"distance.145",0.287960784020458
"distance.146",0.0552276994545854
"distance.147",0.28864011089069
"distance.148",0.594571602314241
"distance.149",0.754891773968845
"distance.150",0.117907743470549
"distance.151",0.426152095040827
"distance.152",0.4442731602982
"distance.153",0.226326803166495
"distance.154",0.510654706342295
"distance.155",0.0999642707028195
"distance.156",0.260235503758882
"distance.157",0.131853006607905
"distance.158",0.145092188523094
"distance.159",0.5222454519729
"distance.160",0.191128539859043
"distance.161",0.317345955808659
"distance.162",0.198884860580869
"distance.163",0.745408576088522
"distance.164",0.38438792128852
"distance.165",0.331541230359355
"distance.166",0.15764158026178
"distance.167",0.164884755991982
"distance.168",0.274994351029002
"distance.169",0.271139986042398
"distance.170",0.190673559073523
"distance.171",0.124874641938441
"distance.172",0.236448394626713
"distance.173",0.279030260914434
"distance.174",0.63794477782641
"distance.175",0.582379855425007
"distance.176",0.209705322380149
"distance.177",0.840347056173299
"distance.178",0.42225161213551
"distance.179",0.350301257051143
"distance.180",0.424969004255713
"distance.181",0.291804229422608
"distance.182",0.161826680942524
"distance.183",0.175531294725414
"distance.184",0.134566285689123
"distance.185",0.355325226580041
"distance.186",0.204183566515321
"distance.187",0.154707449524784
"distance.188",1.94579767865297
"distance.189",2.77962636119306
"distance.190",0.3747052333204
"distance.191",0.439590482903993
"distance.192",1.2699293854926
"distance.193",0.226185767911034
"distance.194",0.32824259829563
"distance.195",0.258150403222632
"distance.196",0.269558957770007
"distance.197",0.169644758507153
"distance.198",0.207284295341537
"distance.199",0.160677896711332
"distance.200",0.285085645723418
"distance.201",0.241759895510244
"distance.202",0.451346189262874
"distance.203",1.04394545590758
"distance.204",0.480695193729024
"distance.205",0.340824100967122
"distance.206",0.0958595542091397
"distance.207",0.321964322204094
"distance.208",0.146659503585953
"distance.209",0.277467016946799
"distance.210",0.319893118396717
"distance.211",0.296921127827446
"distance.212",0.312384808898336
"distance.213",0.23334310960894
"distance.214",0.614985111376374
"distance.215",0.284193104415027
"distance.216",0.738083351290438
"distance.217",0.233856512204912
"distance.218",0.61220229031891
"distance.219",0.677877241415388
"distance.220",0.49755585095083
"distance.221",0.26931563417271
"distance.222",0.690490526520819
"distance.223",0.556811527494492
"distance.224",0.253126806223479
"distance.225",1.15120226577812
"distance.226",0.300660839044627
"distance.227",0.314002020061491
"distance.228",0.634108660337238
"distance.229",0.879558042670321
"distance.230",0.749720043660448
"distance.231",0.329311968384743
"distance.232",0.099885376448195
"distance.233",0.28320829134515
"distance.234",0.45803179149944
"distance.235",0.673598005413028
"distance.236",0.540794965681989
"distance.237",0.352984375460199
"distance.238",1.69784953564044
"distance.239",0.20405435876096
"distance.240",0.273148202755755
"distance.241",0.390081591862516
"distance.242",0.468601061000082
"distance.243",0.187085968640221
"distance.244",0.57895868578431
"distance.245",0.145785558049031
"distance.246",0.255044182438541
"distance.247",0.153635512058866
"distance.248",0.729953953064763
"distance.249",0.381440809445422
"distance.250",0.657273086869196
"distance.251",0.131668493835757
"distance.252",0.185154957645884
"distance.253",0.318543765885644
"distance.254",0.23386258241355
"distance.255",0.261602625317995
"distance.256",0.199391003773326
"distance.257",0.448757219852478
"distance.258",0.251403003651492
"distance.259",0.424186661155788
"distance.260",0.298102392542887
"distance.261",0.186757232345749
"distance.262",0.151951339335797
"distance.263",0.522708649325995
"distance.264",0.244298179467322
"distance.265",0.608519246461896
"distance.266",0.789261595143124
"distance.267",1.00252835320864
"distance.268",0.364844547328804
"distance.269",0.263742602184662
"distance.270",1.24959471441003
"distance.271",1.13134053816648
"distance.272",0.604043111909275
"distance.273",0.494374446273096
"distance.274",0.934887587353162
"distance.275",0.401014519514394
"distance.276",0.266014549481172
"distance.277",1.02274282389062
"distance.278",1.02477178510823
"distance.279",0.192221222175267
"distance.280",0.407386249162712
"distance.281",0.29145689722762
"distance.282",1.23371585287662
"distance.283",0.529840229509074
"distance.284",0.20919573906719
"distance.285",0.242690512015276
"distance.286",0.444052272982495
"distance.287",0.209051581185043
"distance.288",0.248493965384631
"distance.289",1.01659634277538
"distance.290",0.49154338939191
"distance.291",0.202838010745839
"distance.292",0.693464326366612
"distance.293",0.237290504710928
"distance.294",0.283245559780966
"distance.295",0.753962618396053
"distance.296",0.332925450260019
"distance.297",0.701725631874974
"distance.298",2.09164550100293
"distance.299",1.16422048869886
"distance.300",0.494296178678661
