"","MeanDecreaseGini"
"duration.1",0.870717388485795
"duration.2",5.221280317993
"duration.3",6.85998006400388
"duration.4",3.10739763775578
"duration.5",1.58517546216165
"duration.6",2.05423115305972
"duration.7",5.25957822149645
"duration.8",1.64929743184139
"duration.9",0.909501818715361
"duration.10",1.07524342107754
"duration.11",0.509497272048277
"duration.12",0.813877586711083
"duration.13",0.803259436487094
"duration.14",0.402985443250447
"duration.15",0.549612964889238
"duration.16",0.501049021148831
"duration.17",0.586439062918216
"duration.18",0.823430333281148
"duration.19",0.4009067207467
"duration.20",0.447476397681217
"duration.21",0.288771957602267
"duration.22",0.442706551267903
"duration.23",0.346713557866439
"duration.24",0.620092134915274
"duration.25",0.294071432584783
"duration.26",0.455780058165646
"duration.27",0.594271505331335
"duration.28",1.36946588140538
"duration.29",0.879278804806468
"duration.30",1.47191364494353
"duration.31",2.22926888015299
"duration.32",0.790217857453525
"duration.33",0.770417620327775
"duration.34",0.961423454144693
"duration.35",2.9959731395164
"duration.36",1.38762478784136
"duration.37",0.567802164473391
"duration.38",0.37425583909438
"duration.39",0.556585032724953
"duration.40",0.346735971758679
"duration.41",0.508690328806401
"duration.42",0.430636698311183
"duration.43",0.372670250660081
"duration.44",0.57124180299204
"duration.45",0.409949337476853
"duration.46",0.843448664759965
"duration.47",0.389958235822984
"duration.48",1.12440041814768
"duration.49",0.66933852919539
"duration.50",0.832687541137261
"duration.51",0.671363518215896
"duration.52",0.852444562491623
"duration.53",1.74287348540383
"duration.54",0.433754932209737
"duration.55",0.575733855140839
"duration.56",0.309985446365726
"duration.57",0.439852123133644
"duration.58",0.526236780394087
"duration.59",0.573872572403209
"duration.60",0.323775102927379
"duration.61",0.408349023666286
"duration.62",0.343681774387906
"duration.63",0.819962304374882
"duration.64",0.442596309835391
"duration.65",0.497915514652942
"duration.66",0.396564860748528
"duration.67",0.396575848749084
"duration.68",0.259692424042749
"duration.69",0.5408269188758
"duration.70",0.421002025920823
"duration.71",0.546478961022531
"duration.72",0.242898997733207
"duration.73",0.378922002888722
"duration.74",0.450372977638485
"duration.75",0.490023826543004
"duration.76",0.36056005588261
"duration.77",0.373029552938331
"duration.78",0.397593022686385
"duration.79",0.437760111941452
"duration.80",0.217544851848311
"duration.81",0.325050175540086
"duration.82",0.314706273405038
"duration.83",0.428456020959097
"duration.84",0.758894062724597
"duration.85",0.455007397991775
"duration.86",0.355329732390287
"duration.87",0.457290925866876
"duration.88",0.309768582727646
"duration.89",0.371489404422678
"duration.90",0.555821267235392
"duration.91",0.432447062351015
"duration.92",0.446365060724619
"duration.93",0.3507109456918
"duration.94",0.621253570356405
"duration.95",0.403792591115037
"duration.96",0.430892477396918
"duration.97",0.73680084659332
"duration.98",0.481135766554441
"duration.99",0.307217056629683
"duration.100",0.50727071914221
"duration.101",0.340295222409274
"duration.102",0.573105984006499
"duration.103",0.41633946917291
"duration.104",0.371880821656537
"duration.105",0.416102797838422
"duration.106",0.482569088175836
"duration.107",0.616825647202682
"duration.108",0.344245360748915
"duration.109",0.451954231619639
"duration.110",0.434490419776127
"duration.111",0.450973860721936
