"","MeanDecreaseGini"
"duration.1",12.9253193011502
"duration.2",2.12600429733506
"duration.3",1.0815238900138
"duration.4",0.621167242144918
"duration.5",1.09835809574259
"duration.6",0.726631670055846
"duration.7",0.458254304316496
"duration.8",0.566035192333625
"duration.9",0.451458077864314
"duration.10",0.730012983748932
"duration.11",0.448970591935655
"duration.12",1.21304638961778
"duration.13",0.529479604006272
"duration.14",0.537180884238604
"duration.15",0.511090764672726
"duration.16",0.566393462316023
"duration.17",0.339617465347677
"duration.18",0.605041997109591
"duration.19",0.320536462035839
"duration.20",0.455334715026374
"duration.21",0.747097131395555
"duration.22",1.01860225480325
"duration.23",0.611554307739078
"duration.24",0.371615661130636
"duration.25",0.374137098093794
"duration.26",0.442428012728341
"duration.27",0.41985513953209
"duration.28",0.25427692157898
"duration.29",0.781358175448002
"duration.30",1.14048585716251
"duration.31",0.349890904363264
"duration.32",0.497917356016041
"duration.33",0.36873218714803
"duration.34",0.349788491870313
"duration.35",0.267469049547072
"duration.36",0.509378854256394
"duration.37",0.272461514866356
"duration.38",0.476392189340281
"duration.39",0.594963664967295
"duration.40",0.391077875473996
"duration.41",0.342672350943205
"duration.42",0.590278291662259
"duration.43",0.432235850760967
"duration.44",0.300896572070941
"duration.45",0.344458435520695
"duration.46",0.493225551973868
"duration.47",0.692449291490377
"duration.48",0.799982454312353
"duration.49",0.383274347739175
"duration.50",0.416761137957984
"duration.51",0.867566684462853
"duration.52",0.283741477521677
"duration.53",0.151779941250065
"duration.54",0.271915385482956
"duration.55",0.292119016337743
"duration.56",0.248243768761369
"duration.57",0.356381136757712
"duration.58",0.43288327708792
"duration.59",0.353894538056285
"duration.60",0.307789852584969
"duration.61",0.279453824035967
"duration.62",0.397235037433604
"duration.63",0.40157378129994
"duration.64",0.75589633050273
"duration.65",0.24272217990279
"duration.66",0.207396624116782
"duration.67",0.301915818228291
"duration.68",0.715888131669656
"duration.69",0.392088844009813
"duration.70",0.405115683222054
"duration.71",0.370668037978985
"duration.72",0.499275517374974
"duration.73",0.440727199730248
"duration.74",0.610449470798218
"duration.75",0.292060602758354
"duration.76",0.371501752723643
"duration.77",0.123907763711356
"duration.78",0.292198369918786
"duration.79",0.46750164670174
"duration.80",0.626185225414741
"duration.81",0.349530367875213
"duration.82",0.546019386108408
"duration.83",0.476985748401654
"duration.84",0.200924738704565
"duration.85",0.282646261107359
"duration.86",0.434199933343323
"duration.87",0.214785327802039
"duration.88",0.235145329247487
"duration.89",0.280251619869503
"duration.90",0.185601159443458
"duration.91",0.320697957110076
"duration.92",0.125817374828903
"duration.93",0.303935474201439
"duration.94",0.287298286964387
"duration.95",0.332221924195648
"duration.96",0.240601701699062
"duration.97",0.893270870262391
"duration.98",0.492087155566499
"duration.99",0.221429700806402
"duration.100",0.371641334005908
"duration.101",0.137499328631848
"duration.102",0.302880592132457
"duration.103",0.198138792694468
"duration.104",0.258224304348511
"duration.105",0.302987465867634
"duration.106",0.853062239416197
"duration.107",0.32777671875299
"duration.108",0.397851669835168
"duration.109",0.538467463878903
"duration.110",0.414941311871781
"duration.111",0.26741187867787
"duration.112",0.631136661501222
"duration.113",0.328456615874111
"duration.114",0.476984280939442
"duration.115",0.544862614319893
"duration.116",0.811427964931892
"duration.117",0.797402220302999
"duration.118",0.427644725294871
"duration.119",0.316895431417623
"duration.120",0.302607414424572
"duration.121",0.551734510408943
"duration.122",0.560757420823981
"duration.123",0.333598688806478
"duration.124",0.720604493928279
"duration.125",0.347967339834989
"duration.126",0.263764042406985
