"","X.log10P","log2FC","feature","SigDiff","norm"
"larct.1",127.123840646309,0.990886855126217,"larct.1","UP",127.127702399705
"lardur.1",262.918652692196,1.5563556504585,"lardur.1","UP",262.923259101188
"lardist.1",234.67994406955,1.7445188350772,"lardist.1","UP",234.686428015028
"inadur.2",50.9065331616672,0.947710776606624,"inadur.2","UP",50.9153540128714
"inadist.2",18.680693398508,0.727586695474342,"inadist.2","UP",18.6948572674009
"smlct.2",116.047025504547,1.5011444077995,"smlct.2","UP",116.056734242293
"smldur.2",85.0975437253047,1.21062050393611,"smldur.2","UP",85.1061545958029
"smldist.2",153.335231297136,2.16884438964657,"smldist.2","UP",153.350569098822
"larct.2",256.890421453096,2.47489301769355,"larct.2","UP",256.902342787679
"lardur.2",289.054088483181,2.58862913866422,"lardur.2","UP",289.065679508412
"lardist.2",254.454692883534,2.43111730981835,"lardist.2","UP",254.466306339028
"inact.3",16.0562669703324,0.734589696453776,"inact.3","UP",16.0730622796256
"inadur.3",58.487861696553,0.787814592481712,"inadur.3","UP",58.4931672733427
"inadist.3",32.0195123197009,0.845109705104027,"inadist.3","UP",32.030663115289
"smlct.3",101.083249300853,1.20805226901655,"smlct.3","UP",101.090467797429
"smldur.3",98.6671517755645,1.11267290898676,"smldur.3","UP",98.6734254016991
"smldist.3",145.585884854072,1.44591578988861,"smldist.3","UP",145.593064880215
"larct.3",176.491031378028,1.51666370821461,"larct.3","UP",176.49754793108
"lardur.3",287.284205501996,2.0927821278009,"lardur.3","UP",287.29182805633
"lardist.3",245.568636235841,1.72458858239669,"lardist.3","UP",245.574691913701
"inadur.4",53.936132739658,0.694298495591998,"inadur.4","UP",53.9406012694611
"inadist.4",13.4823192963304,0.640617747798945,"inadist.4","UP",13.4975303188027
"smlct.4",75.8372992884337,1.1430531751266,"smlct.4","UP",75.8459130996828
"smldur.4",76.4189096437362,1.06409422905392,"smldur.4","UP",76.4263177685922
"smldist.4",123.965237893741,1.11122168471592,"smldist.4","UP",123.97021827715
"larct.4",127.010890011383,1.08294134200264,"larct.4","UP",127.01550670463
"lardur.4",214.646621077601,0.907073300594059,"lardur.4","UP",214.648537665654
"lardist.4",192.110074840382,1.10844258185691,"lardist.4","UP",192.113272576713
"inact.5",33.2281102705592,0.74962052018137,"inact.5","UP",33.2365648507291
"inadur.5",48.0739225917667,0.631493218184352,"inadur.5","UP",48.0780700220359
"inadist.5",28.2295017138449,0.627085120146099,"inadist.5","UP",28.2364658333843
"smlct.5",75.5344606178301,0.949492226890104,"smlct.5","UP",75.5404280919526
"smldur.5",83.4930968935831,1.06283240253795,"smldur.5","UP",83.4998613268138
"smldist.5",124.424729660157,1.39161048765672,"smldist.5","UP",124.432511550448
"larct.5",156.359476028546,1.58061690754106,"larct.5","UP",156.367464946292
"lardur.5",229.54248351724,1.00161261482819,"lardur.5","UP",229.544668783861
"lardist.5",197.60642479673,0.932486932759516,"lardist.5","UP",197.608624945435
"inact.6",20.874298099803,0.64467545427993,"inact.6","UP",20.8842507071906
"inadur.6",60.9654516142379,0.866922294114066,"inadur.6","UP",60.9716150744919
"inadist.6",19.0617099994953,0.740141577941182,"inadist.6","UP",19.0760739582404
"smlct.6",43.0269484047,0.810211070289545,"smlct.6","UP",43.0345759941833
"smldur.6",58.9981926654783,0.816730405071479,"smldur.6","UP",59.0038455216901
"smldist.6",105.310712120779,0.719154043676024,"smldist.6","UP",105.313167599898
"larct.6",111.37972354432,0.811569808092765,"larct.6","UP",111.38268026207
"lardur.6",185.337429162716,0.598733101131608,"lardur.6","UP",185.338396264701
"inact.7",18.8147653615044,0.676032914353325,"inact.7","UP",18.8269067058228
"inadur.7",73.3409912869904,0.787325654339672,"inadur.7","UP",73.3452171899735
"inadist.7",29.7041145805274,0.877770485101704,"inadist.7","UP",29.7170810147567
"smlct.7",73.2313108773141,1.15481042952525,"smlct.7","UP",73.2404156182771
"smldur.7",81.7306315076317,1.09800150012775,"smldur.7","UP",81.7380066672204
"smldist.7",127.858740007882,1.19966465276178,"smldist.7","UP",127.864367951679
"larct.7",157.815308569182,1.58322781256321,"larct.7","UP",157.823249963663
"lardur.7",262.679334533335,1.56671441667887,"lardur.7","UP",262.68400671708
"lardist.7",227.30277065724,1.37045811639521,"lardist.7","UP",227.30690201555
"inact.8",13.6308683000326,0.606392369813287,"inact.8","UP",13.6443498313038
"inadur.8",50.4315065789274,0.709698876304191,"inadur.8","UP",50.4364999609948
"inadist.8",16.8310416848293,0.725621649900313,"inadist.8","UP",16.8466759621969
"smlct.8",53.5858855167114,0.827487186338902,"smlct.8","UP",53.5922742720782
"smldur.8",51.995435699716,0.788176432330806,"smldur.8","UP",52.0014091702503
"smldist.8",93.8994850270521,0.742319493828835,"smldist.8","UP",93.9024191731847
"larct.8",135.191594151198,0.978859209121669,"larct.8","UP",135.195137835995
"lardur.8",226.863035652606,1.25651398421313,"lardur.8","UP",226.866515318828
"lardist.8",198.88352787035,1.13697732708322,"lardist.8","UP",198.886777779717
"inact.9",7.87410814777309,0.630717755012055,"inact.9","UP",7.89932807328029
"inadist.9",7.86626625733948,0.589645028855573,"inadist.9","UP",7.88833481106195
"smlct.9",34.9202226049474,0.744328271134464,"smlct.9","UP",34.9281544223896
"smldur.9",39.7089498340163,0.654894101644956,"smldur.9","UP",39.7143498398852
"smldist.9",80.4996074028674,0.592888758677851,"smldist.9","UP",80.5017907198091
"larct.9",123.983341169414,0.85004089369103,"larct.9","UP",123.986255113429
"inadur.10",34.6050285229261,0.681199955330322,"inadur.10","UP",34.6117325837882
"inadist.10",23.5066578760324,0.695955763148297,"inadist.10","UP",23.516958113776
"smlct.10",45.450251109681,0.716515040242984,"smlct.10","UP",45.4558986242265
"smldur.10",55.132545301234,0.856917716652738,"smldur.10","UP",55.1392043773369
"smldist.10",94.3308482851232,0.664814453176183,"smldist.10","UP",94.3331909586869
"larct.10",106.341050355477,0.627539341340331,"larct.10","UP",106.342901955565
"smlct.11",30.049945512233,0.654815577927227,"smlct.11","UP",30.0570791782779
"smldist.11",91.6046765893025,0.655736010490693,"smldist.11","UP",91.6070235448471
"larct.11",141.025316330318,1.26761538354229,"larct.11","UP",141.03101323761
"lardur.11",212.386428051976,0.620425379242742,"lardur.11","UP",212.387334246485
"lardist.11",194.981062394798,0.733022653771538,"lardist.11","UP",194.982440273003
"larct.12",134.366970157592,1.23930395085916,"larct.12","UP",134.372685258626
"lardur.12",237.786247932514,1.34366442117928,"lardur.12","UP",237.790044240502
"lardist.12",200.02962799026,1.29099116660741,"lardist.12","UP",200.033793975203
"inadur.15",17.1148939080633,0.586754523276764,"inadur.15","UP",17.1249488861966
"smlct.15",30.2054583334282,0.616488254982922,"smlct.15","UP",30.211748888487
"larct.16",129.898533631546,0.991214428902962,"larct.16","UP",129.902315397648
