"","X.log10P","log2FC","feature","SigDiff","norm"
"lardist.1",234.272458742971,1.7445188350772,"lardist.1","UP",234.278953966085
"inadist.2",18.680929620696,0.727586695474342,"inadist.2","UP",18.6950933106211
"smldist.2",153.454027152237,2.16884438964657,"smldist.2","UP",153.469353081408
"lardist.2",254.028724151262,2.43111730981835,"lardist.2","UP",254.040357079918
"inadist.3",32.0922382027404,0.845109705104027,"inadist.3","UP",32.1033637377004
"smldist.3",145.724257425053,1.44591578988861,"smldist.3","UP",145.731430633733
"lardist.3",245.305394801066,1.72458858239669,"lardist.3","UP",245.311456977218
"inadist.4",13.4574187577931,0.640617747798945,"inadist.4","UP",13.4726578937267
"smldist.4",124.112226771092,1.11122168471592,"smldist.4","UP",124.117201256359
"lardist.4",191.950373997514,1.10844258185691,"lardist.4","UP",191.953574394286
"inadist.5",28.2820067583506,0.627085120146099,"inadist.5","UP",28.2889579523053
"smldist.5",124.57153154311,1.39161048765672,"smldist.5","UP",124.579304263371
"lardist.5",197.407384339604,0.932486932759516,"lardist.5","UP",197.409586706633
"inadist.6",19.0624213747271,0.740141577941182,"inadist.6","UP",19.0767847978387
"smldist.6",105.413734275855,0.719154043676024,"smldist.6","UP",105.416187355259
"inadist.7",29.7646561414649,0.877770485101704,"inadist.7","UP",29.7775962133306
"smldist.7",128.010658068182,1.19966465276178,"smldist.7","UP",128.016279333248
"lardist.7",226.922559415529,1.37045811639521,"lardist.7","UP",226.926697695848
"inadist.8",16.8183048634263,0.725621649900313,"inadist.8","UP",16.8339509699284
"smldist.8",93.9829425927314,0.742319493828835,"smldist.8","UP",93.9858741334013
"lardist.8",198.670680364848,1.13697732708322,"lardist.8","UP",198.673933755976
"inadist.9",7.83180522179035,0.589645028855573,"inadist.9","UP",7.85397060677698
"smldist.9",80.5892857032915,0.592888758677851,"smldist.9","UP",80.5914665907434
"inadist.10",23.5337638885654,0.695955763148297,"inadist.10","UP",23.5440522677597
"smldist.10",94.413314870239,0.664814453176183,"smldist.10","UP",94.4156554976135
"smldist.11",91.6880373220035,0.655736010490693,"smldist.11","UP",91.6903821438026
"lardist.11",194.812761380169,0.733022653771538,"lardist.11","UP",194.81414044873
"lardist.12",199.783645560927,1.29099116660741,"lardist.12","UP",199.787816675108
"lardist.18",161.070841833514,0.630630338748667,"lardist.18","UP",161.072076362047
"lardist.21",200.752501891762,0.740319115596875,"lardist.21","UP",200.753866932109
"smldist.22",107.11868195875,0.611087638207328,"smldist.22","UP",107.120425002337
"lardist.25",161.786007683103,0.619821320986462,"lardist.25","UP",161.787194983123
"inadist.27",13.2623447730942,0.596210967936517,"inadist.27","UP",13.2757393917894
"smldist.28",70.8341007550846,0.627992313854128,"smldist.28","UP",70.8368844891399
"lardist.29",186.035893330792,0.747226371790751,"lardist.29","UP",186.037393968622
"smldist.31",90.567428183652,0.894077328770071,"smldist.31","UP",90.5718412204963
"smldist.33",104.079181246048,0.730134350988129,"smldist.33","UP",104.08174222705
"lardist.33",188.250612113057,0.651351697419227,"lardist.33","UP",188.251738956043
"smldist.34",88.6111011065218,0.67687000251525,"smldist.34","UP",88.6136862584473
"lardist.34",193.513787567834,0.740908495820328,"lardist.34","UP",193.515205925136
"inadist.35",27.4465831874702,0.760035161697984,"inadist.35","UP",27.4571044014794
"lardist.36",180.35546402417,1.08279306453468,"lardist.36","UP",180.358714356125
"smldist.37",77.7672793697832,0.715262337393265,"smldist.37","UP",77.7705686027124
"lardist.38",155.49664271371,0.613215092763641,"lardist.38","UP",155.497851843636
"lardist.40",184.408518002762,0.617272260417056,"lardist.40","UP",184.409551100311
"lardist.41",140.52335106124,-0.721206410738195,"lardist.41","DOWN",140.525201768819
"lardist.42",179.673371586361,0.957555015885345,"lardist.42","UP",179.675923175085
"inadist.46",20.8091854841236,0.643727546027827,"inadist.46","UP",20.8191398877614
"lardist.46",190.237494565429,0.592843759086381,"lardist.46","UP",190.238418313058
"lardist.47",185.050863558963,0.683074106622141,"lardist.47","UP",185.052124262741
"inadist.48",18.7321383675887,0.640275760780768,"inadist.48","UP",18.743077678768
"smldist.48",114.531394596203,0.653151922956023,"smldist.48","UP",114.533256984972
"lardist.48",210.099003002514,0.898895859675283,"lardist.48","UP",210.100925929461
"smldist.49",123.863989098613,0.676980305627746,"smldist.49","UP",123.8658391073
"lardist.49",185.080853064875,1.30686966386951,"lardist.49","UP",185.085466959295
"inadist.50",17.0787577506636,0.73290195482499,"inadist.50","UP",17.0944760545984
"lardist.50",176.434193958488,0.873903904573143,"lardist.50","UP",176.436358230994
"smldist.51",95.529293846883,0.748007506916059,"smldist.51","UP",95.5322223028153
"lardist.51",181.216996246822,0.877898600698341,"lardist.51","UP",181.219122706942
"smldist.52",96.4607308385315,0.80749384543193,"smldist.52","UP",96.4641106329915
"smldist.53",102.590889330867,0.715500687173576,"smldist.53","UP",102.593384362402
"lardist.53",179.133624915793,0.69128758884506,"lardist.53","UP",179.13495877132
"lardist.54",176.275866662229,0.624500342309165,"lardist.54","UP",176.276972881308
"lardist.55",143.191235384678,0.64012113476774,"lardist.55","UP",143.192666174135
"lardist.56",178.953987117205,0.808786283708154,"lardist.56","UP",178.955814771126
"smldist.59",86.7709840572366,0.791398983385415,"smldist.59","UP",86.77459297866
"smldist.64",100.156582018104,1.00210806031815,"smldist.64","UP",100.161595145613
"lardist.65",185.243211801232,0.824005033779138,"lardist.65","UP",185.245044475505
"lardist.74",175.650050363321,0.881743767526207,"lardist.74","UP",175.652263477328
"inadist.78",11.7736676448166,0.594501372013373,"inadist.78","UP",11.7886675112977
"lardist.80",180.320784798537,0.67008890972375,"lardist.80","UP",180.322029850785
"inadist.85",19.2970612195153,0.641188859028661,"inadist.85","UP",19.3077107618346
"smldist.86",92.9686492531359,0.641450113654611,"smldist.86","UP",92.9708621138952
"smldist.90",109.503875330166,0.903858462789574,"smldist.90","UP",109.507605546124
"smldist.91",89.2413708893188,0.756411841628059,"smldist.91","UP",89.2445765135289
"lardist.92",154.380906669373,-0.632902403779129,"lardist.92","DOWN",154.382203992269
"smldist.95",75.7173920795202,0.717608856394781,"smldist.95","UP",75.7207925592077
"smldist.98",70.4874620880579,0.590681239865638,"smldist.98","UP",70.4899369835335
"smldist.100",86.0918991425634,0.756411841628059,"smldist.100","UP",86.0952220326277
"lardist.100",203.676011682527,1.32754677462725,"lardist.100","UP",203.68033806762
"lardist.101",177.430581918855,0.628386169488039,"lardist.101","UP",177.43169465809
"smldist.105",93.1524202704791,0.592262551938089,"smldist.105","UP",93.1543030524001
"smldist.106",91.17312925584,0.672905748280049,"smldist.106","UP",91.175612421569
