"","X.log10P","log2FC","feature","SigDiff","norm"
"lardur.1",263.395773946916,1.5563556504585,"lardur.1","UP",263.400372011896
"inadur.2",50.8339506792385,0.947710776606624,"inadur.2","UP",50.8427841229741
"smldur.2",85.0801602302442,1.21062050393611,"smldur.2","UP",85.088772859929
"lardur.2",289.5312097379,2.58862913866422,"lardur.2","UP",289.542781662934
"inadur.3",58.4093429898893,0.787814592481712,"inadur.3","UP",58.4146556982292
"smldur.3",98.7127489802839,1.11267290898676,"smldur.3","UP",98.7190197087012
"lardur.3",287.761326756716,2.0927821278009,"lardur.3","UP",287.768936672845
"inadur.4",53.8598968483381,0.694298495591998,"inadur.4","UP",53.8643717025883
"smldur.4",76.3775598285728,1.06409422905392,"smldur.4","UP",76.3849719637019
"lardur.4",215.076317682392,0.907073300594059,"lardur.4","UP",215.078230441367
"inadur.5",48.0164173583689,0.631493218184352,"inadur.5","UP",48.020569755238
"smldur.5",83.471726222833,1.06283240253795,"smldur.5","UP",83.4784923877729
"lardur.5",229.955146782732,1.00161261482819,"lardur.5","UP",229.957328127847
"inadur.6",60.8857445424107,0.866922294114066,"inadur.6","UP",60.8919160705896
"smldur.6",58.9184936536582,0.816730405071479,"smldur.6","UP",58.9241541557512
"lardur.6",185.689133646127,0.598733101131608,"lardur.6","UP",185.690098916381
"inadur.7",73.288795539247,0.787325654339672,"inadur.7","UP",73.2930244517139
"smldur.7",81.7052808674319,1.09800150012775,"smldur.7","UP",81.7126583150996
"lardur.7",263.156455788054,1.56671441667887,"lardur.7","UP",263.161119500951
"inadur.8",50.3593040436467,0.709698876304191,"inadur.8","UP",50.3643045842537
"smldur.8",51.9160409886939,0.788176432330806,"smldur.8","UP",51.9220235933484
"lardur.8",227.267606240177,1.25651398421313,"lardur.8","UP",227.271079712164
"smldur.9",39.6836817318472,0.654894101644956,"smldur.9","UP",39.6890851756363
"inadur.10",34.5975687984395,0.681199955330322,"inadur.10","UP",34.6042743045118
"smldur.10",55.0523478216044,0.856917716652738,"smldur.10","UP",55.059016597139
"lardur.11",212.804235305479,0.620425379242742,"lardur.11","UP",212.805139720828
"lardur.12",238.179048301534,1.34366442117928,"lardur.12","UP",238.182838348822
"inadur.15",17.1749215021557,0.586754523276764,"inadur.15","UP",17.1849413579388
"lardur.16",186.597488020398,0.613325092487664,"lardur.16","UP",186.598495983199
"lardur.18",226.906778496672,1.09122045456603,"lardur.18","UP",226.909402383018
"lardur.19",219.158327749926,0.691798748405074,"lardur.19","UP",219.159419618807
"lardur.20",190.063307130077,0.824933343119905,"lardur.20","UP",190.06509735415
"lardur.21",228.323464057642,1.11925499957743,"lardur.21","UP",228.326207367957
"smldur.22",70.585296149079,0.736857181196831,"smldur.22","UP",70.589142160524
"lardur.25",183.579191446157,0.694214690274102,"lardur.25","UP",183.580504046755
"lardur.26",206.515390723888,0.930170864362606,"lardur.26","UP",206.517485515578
"lardur.28",218.976174303264,1.07313627977772,"lardur.28","UP",218.978803846327
"lardur.29",214.525601603616,0.898189277724207,"lardur.29","UP",214.527481893048
"smldur.31",45.022101944224,0.751539670929664,"smldur.31","UP",45.0283741140304
"smldur.32",49.1564557880544,0.613794726674863,"smldur.32","UP",49.1602877291156
"smldur.33",42.2494580676003,0.63858189449357,"smldur.33","UP",42.2542837336274
"lardur.33",207.600011800242,0.71946314014608,"lardur.33","UP",207.601258490093
"inadur.34",38.3020136755452,0.625980113564108,"inadur.34","UP",38.3071286147139
"smldur.34",46.9283117444178,0.793748174710672,"smldur.34","UP",46.9350240156124
"lardur.34",226.059750840517,0.926529850074444,"lardur.34","UP",226.061649572942
"smldur.36",49.3529130388587,0.606100055362059,"smldur.36","UP",49.3566346370806
"lardur.36",215.94603952931,1.10757284911255,"lardur.36","UP",215.948879844306
"smldur.37",40.0242339902569,0.598568218486569,"smldur.37","UP",40.0287095772399
"inadur.39",24.0219078800671,0.593707094612389,"inadur.39","UP",24.0292435651359
"lardur.40",221.350347296991,1.00140837059235,"lardur.40","UP",221.352612515017
"lardur.42",205.612101929622,0.862026226376772,"lardur.42","UP",205.613908938895
"inadur.46",40.1620300481903,0.653927246242968,"inadur.46","UP",40.1673533909706
"lardur.46",216.363773234215,0.747757765965466,"lardur.46","UP",216.365065363666
"inadur.48",34.3594817568529,0.596132686800634,"inadur.48","UP",34.3646527813068
"smldur.48",54.9357444318823,0.736863020026716,"smldur.48","UP",54.9406860477312
"lardur.48",236.339533965098,0.958139907662287,"lardur.48","UP",236.34147614611
"lardur.49",221.129045570823,1.29585991120155,"lardur.49","UP",221.132842535822
"inadur.50",45.4015931057627,0.621774859082266,"inadur.50","UP",45.4058505097815
"lardur.50",203.045757490561,1.03604918416302,"lardur.50","UP",203.048400714774
"lardur.51",201.540228050022,0.70756449054058,"lardur.51","UP",201.541470099737
"smldur.52",48.1459162363656,0.69958187481216,"smldur.52","UP",48.1509985881778
"inadur.53",37.1029302713441,0.603077353695765,"inadur.53","UP",37.1078312087188
"smldur.53",63.3678398054853,0.870356299773344,"smldur.53","UP",63.373816688773
"lardur.53",226.145390361904,0.768013579984059,"lardur.53","UP",226.146694485675
"lardur.54",205.52756996519,0.72357234703616,"lardur.54","UP",205.528843651536
"lardur.56",220.394335884403,1.03604918416302,"lardur.56","UP",220.396771046763
"smldur.59",45.2548050550123,0.670348488886576,"smldur.59","UP",45.2597696377668
"smldur.64",59.0892935211274,0.841740289062169,"smldur.64","UP",59.0952886069624
"lardur.65",206.922744674988,0.879522957914121,"lardur.65","UP",206.924613868104
"lardur.69",189.584456658252,0.697600956397179,"lardur.69","UP",189.585740111167
"lardur.74",211.846717033434,0.930170864362605,"lardur.74","UP",211.848759108192
"lardur.75",208.317983928374,0.902834012636247,"lardur.75","UP",208.319940325541
"smldur.84",60.0457574905607,0.685973279236707,"smldur.84","UP",60.0496757023304
"lardur.84",216.404779433202,0.782183053319503,"lardur.84","UP",216.406193007182
