X.log10P,log2FC,feature
5.7389751660076,0.484833956242967,duration.1
0.968864591074506,-0.0284272979686401,duration.2
0.629224915836653,-0.0209679427588138,duration.3
0.879006257759137,0.00474581743456882,duration.4
0.950971171182474,0.226881093563096,duration.5
0.872984005332854,0.0924778572033651,duration.6
0.7874499385079,0.0680742047443776,duration.7
0.968864591074506,0.180429336588503,duration.8
0.968864591074506,0.157599340372921,duration.9
0.939094710642251,0.167263240139719,duration.10
0.844523196142239,0.0472025020541095,duration.11
0.884540784088214,0.0911679932453161,duration.12
0.688351028325725,-0.0324999892330312,duration.13
0.968864591074506,0.12472215369055,duration.14
0.879006257759137,0.116502912884071,duration.15
0.968864591074506,0.136250236585846,duration.16
0.615193006599245,0.0442387491804829,duration.17
0.465691792938881,-0.0524555809556499,duration.18
0.615193006599245,0.0412649251771768,duration.19
0.57139117156151,0.011530641575318,duration.20
0.504607449227612,0.0238250884389485,duration.21
0.571812078014462,0.164613747465526,duration.22
0.968864591074506,0.158349684549815,duration.23
0.879006257759137,0.0705395941555134,duration.24
0.700057099977233,0.00836023052414787,duration.25
0.506108535030445,0.0021185694145898,duration.26
0.968864591074506,0.206632310395307,duration.27
0.719820143309139,0.0854477014774567,duration.28
0.504607449227612,0.0390248878820395,duration.29
0.356617084092535,0.0622615854945622,duration.30
0.471006596351976,-0.0130327272324096,duration.31
0.207370926247734,-0.0468856829363054,duration.32
0.471006596351976,-0.0288913147272595,duration.33
0.180722013322476,-0.0176514657459031,duration.34
0.471006596351976,-0.0175406560440339,duration.35
0.192766746321921,-0.0651767942249979,duration.36
0.312025379965444,-0.000932450290840456,duration.37
0.22258797444488,-0.0422690236068445,duration.38
0.429457060118102,0.0568210976261053,duration.39
0.623135017411607,0.061996503177178,duration.40
0.571812078014462,0.0386190415928118,duration.41
0.884540784088214,0.203900170484218,duration.42
0.500101530430768,-0.132151713442888,duration.43
0.477287047614176,-0.0416504492500813,duration.44
0.669838762979118,0.162677519686325,duration.45
0.620263137889796,0.0893675999951356,duration.46
0.457537482365143,0.117237688785753,duration.47
0.336322052546491,0.0175904807033589,duration.48
0.653920080875491,0.0511648594793242,duration.49
0.478621409862071,-0.010147331637273,duration.50
